case,trim_limit_ns,full_required_trim_pkpk_ns,applied_trim_ns,applied_trim_pkpk_ns,no_trim_current_pkpk_A,limited_trim_current_pkpk_A,current_pkpk_reduction_pct,event_wait_pkpk_ns_cost,event_wait_rms_ns_cost
mild_monotonic_pm10pct,0.05,0.5000000000000001,-0.05 -0.05 0.05 0.05,0.1,2.0091498667738996,1.6077421949625759,19.978981082972457,44.16498452014749,21.985923691649084
mild_monotonic_pm10pct,0.1,0.5000000000000001,-0.1 -0.075 0.075 0.1,0.2,2.0091498667738996,1.2060328791916408,39.97297567810744,89.47622031127548,39.14148713697014
mild_monotonic_pm10pct,0.2,0.5000000000000001,-0.2 -0.075 0.075 0.2,0.4,2.0091498667738996,0.40201095973036693,79.99099189271143,191.80738206309718,72.27570786343065
mild_monotonic_pm10pct,0.5,0.5000000000000001,-0.25 -0.075 0.075 0.25,0.5000000000000001,2.0091498667738996,7.638334409421077e-14,99.9999999999962,253.48876257352768,94.6385340521727
strong_monotonic_pm20pct,0.05,0.9999999999999997,-0.05 -0.05 0.05 0.05,0.1,4.071812183520002,3.6664927625185744,9.954275952164304,44.16498452014749,21.985923691649084
strong_monotonic_pm20pct,0.1,0.9999999999999997,-0.1 -0.1 0.1 0.1,0.2,4.071812183520002,3.2611733415171464,19.908551904328608,89.05004041524604,44.213520815474894
strong_monotonic_pm20pct,0.2,0.9999999999999997,-0.2 -0.175 0.175 0.2,0.4,4.071812183520002,2.44910234770585,39.85227615315379,185.04695991253868,84.88714187754407
strong_monotonic_pm20pct,0.5,0.9999999999999997,-0.5 -0.175 0.175 0.5,0.9999999999999997,4.071812183520002,7.638334409421077e-14,99.99999999999812,954.4173752377668,375.1199489189758
alternating_pm10pct,0.05,0.5000000000000001,-0.05 0.05 -0.05 0.05,0.1,2.0000000000000036,1.6000000000000458,19.999999999997854,44.07078947367496,21.984381123556997
alternating_pm10pct,0.1,0.5000000000000001,-0.1 0.1 -0.1 0.1,0.2,2.0000000000000036,1.2000000000000561,39.99999999999731,88.89146664810559,44.20999364869525
alternating_pm10pct,0.2,0.5000000000000001,-0.2 0.2 -0.2 0.2,0.4,2.0000000000000036,0.3999999999998707,80.0000000000065,182.24500876270778,90.2650184517709
alternating_pm10pct,0.5,0.5000000000000001,-0.25 0.25 -0.25 0.25,0.5000000000000001,2.0000000000000036,7.638334409421077e-14,99.99999999999618,231.3629153538806,114.45592110196904
one_phase_high_20pct,0.05,0.6666674999999999,0.075 -0.025 -0.025 -0.025,0.1,2.3529442906576605,2.0000030882355837,14.9999812500205,48.3112319129885,20.836134931715513
one_phase_high_20pct,0.1,0.6666674999999999,0.15 -0.05 -0.05 -0.05,0.2,2.3529442906576605,1.647061885813315,29.99996250004915,108.06982618031738,46.467671265319346
one_phase_high_20pct,0.2,0.6666674999999999,0.275 -0.0916667 -0.0916667 -0.0916667,0.36666687500000034,2.3529442906576605,1.058825813148923,54.99996250004816,252.0311190441912,107.75400488045061
one_phase_high_20pct,0.5,0.6666674999999999,0.5 -0.166667 -0.166667 -0.166667,0.6666668750000004,2.3529442906576605,2.205882468686582e-06,99.99990625011917,1024.8811380741956,425.2076587920688
one_phase_low_20pct,0.05,0.6666674999999999,-0.075 0.025 0.025 0.025,0.1,3.0769266272185387,2.61538821005891,14.99998125001919,40.62680949075213,17.564938573642902
one_phase_low_20pct,0.1,0.6666674999999999,-0.15 0.05 0.05 0.05,0.2,3.0769266272185387,2.153849792899141,29.999962500042944,76.04572131580775,32.81437755957875
one_phase_low_20pct,0.2,0.6666674999999999,-0.275 0.0916667 0.0916667 0.0916667,0.3666668749999996,3.0769266272185387,1.3846181360943728,54.99996250004728,127.03125078108415,54.6989800811527
one_phase_low_20pct,0.5,0.6666674999999999,-0.5 0.166667 0.166667 0.166667,0.6666668749999997,3.0769266272185387,2.8846150250672054e-06,99.99990625011986,203.3351117613416,87.39737651409015
