success,error_message,controller_mode,base_load_A,target_load_A,target_Rload_ohm,Iph_initial_A,Iph_final_A,ref_slew_us,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,tradeoff_score
1,,dynamic_refslew,40,20,0.05,10,5,20,0.99951236273925,1.00223500775282,0.998566000955882,2.23500775282348,1.43399904411767,0.53400000000006,0.938000000000024,1.8820000000035,0.797999999999988,1,-0.434811266497692,5.08645895136418,5.08075334567616,4.88645369201142,4.93101801148388,19.9846840005356,-0.0153159994643524,0.200005259352756,-0.00971467844610996,532.432432432432,31.9413877640801,0,4.50763806589697
1,,dynamic_refslew,40,20,0.05,10,5,30,0.99951236273925,1.00223500775282,0.998732801172013,2.23500775282348,1.26719882798709,0.53400000000006,0.938000000000024,1.86400000000349,0.708000000000035,0,-0.436764941712187,5.10945409803878,5.0289583156891,4.83777717995997,5.00738967789086,19.9835792715787,-0.0164207284212985,0.271676918078811,-0.0222791788953012,533.405405405218,37.0921617490197,0,2.44580700467967
1,,dynamic_refslew,40,20,0.05,10,5,40,0.99951236273925,1.00223500775282,0.998800598872398,2.23500775282348,1.19940112760242,0.53400000000006,0.938000000000024,1.85600000000353,0.681149476930226,0,-0.43379596481008,5.12857813688934,5.00379908000915,4.91231335493636,4.99757266060818,20.042263232443,0.0422632324430268,0.216264781952987,0.00987993780209306,533.444444444254,43.3359485758766,0,2.49991606393003
1,,dynamic_refslew,40,20,0.05,10,5,50,0.99951236273925,1.00223500775282,0.998836546115501,2.23500775282348,1.16345388449934,0.53400000000006,0.938000000000024,1.85200000000352,0.755999999999977,1,-0.432349776644747,5.1389379659254,5.0220581181527,4.88470631480807,4.98716689701985,20.032869295906,0.0328692959060319,0.254231651117335,0.00360481639022914,532.5,36.4937986024832,0,4.32567963319376
1,,dynamic_refslew,40,20,0.05,10,5,60,0.99951236273925,1.00223500775282,0.998874176809859,2.23500775282348,1.12582319014076,0.53400000000006,10.062,1.84800000000351,0.762000000000017,1,-0.437496606727428,5.11407840976017,5.01652005175915,4.86940724621827,4.99700193332015,19.9970076410577,-0.00299235894226513,0.244671163541906,-0.00750908227521307,534.277777777779,36.9127241807925,0,4.30157428048404
1,,dynamic_refslew,40,20,0.05,10,5,80,0.99951236273925,1.00223500775282,0.998905640198348,2.23500775282348,1.0943598016524,0.53400000000006,14.41,1.8440000000035,0.652000000003435,0,-0.435550987461508,5.14154333043793,4.99731492749222,4.86454885679041,5.01463096124121,20.0180380759618,0.0180380759617691,0.276994473647522,-0.0014634253762742,533.666666666667,37.1400221295455,0,2.27271123170482
1,,dynamic_refslew,40,10,0.1,10,2.5,20,0.99951236273925,1.00419623534961,0.994253664767622,4.19623534961322,5.74633523237844,1.01000000000002,10.676,2.96200000000349,1.09400000000346,1,-0.54830282670304,2.43153811586669,2.49658633721908,2.57618015823803,2.52576163812702,10.0300662494508,0.0300662494508188,0.144642042371341,-0.00365742531034452,573.588235294118,83.5119725209874,0,9.96487750950123
1,,dynamic_refslew,40,10,0.1,10,2.5,30,0.99951236273925,1.00419623534961,0.994744996358836,4.19623534961322,5.25500364116427,1.01000000000002,10.186,2.92600000000352,1.10600000000001,1,-0.570905468897598,2.35776535095485,2.39627160325863,2.56374765317429,2.72612066332555,10.0439052707133,0.0439052707133243,0.368355312370702,-0.0502198156137602,578,108.860001837568,0,10.0031091468132
1,,dynamic_refslew,40,10,0.1,10,2.5,40,0.99951236273925,1.00419623534961,0.99498971363329,4.19623534961322,5.01028636671008,1.01000000000002,17.534,2.9080000000035,1.03199999999999,1,-0.54894246574877,2.37466604348003,2.45483291477991,2.69493044113661,2.4994972774893,10.0239266768859,0.0239266768858588,0.320264397656583,0.0288165730868561,576.666666666458,91.29556151628,0,9.38514006278445
1,,dynamic_refslew,40,10,0.1,10,2.5,50,0.99951236273925,1.00419623534961,0.995152512607726,4.19623534961322,4.84748739227403,1.01000000000002,20.5380000000001,2.89600000000353,0.980000000000035,1,-0.538008058053707,2.5088668738986,2.34594527052163,2.69686059652504,2.49013459820067,10.0418073391459,0.0418073391459366,0.350915326003411,0.0924119004253341,579.151515151307,79.7841311007952,0,8.98117807234364
