area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,seeds,wait_jitter_rms_ns_mean,wait_jitter_rms_ns_p95,wait_jitter_rms_ns_max,phase_spacing_std_ns_mean,phase_spacing_std_ns_p95,phase_spacing_std_ns_max,current_share_rms_mA_mean,current_share_rms_mA_p95,current_share_rms_mA_max,current_share_pkpk_mA_mean,current_share_pkpk_mA_p95,current_share_pkpk_mA_max,current_snapshot_rms_mA_mean,current_snapshot_rms_mA_p95,current_snapshot_rms_mA_max,vout_event_rms_mV_mean,vout_event_rms_mV_p95,vout_event_rms_mV_max,vout_event_pkpk_mV_mean,vout_event_pkpk_mV_p95,vout_event_pkpk_mV_max
10,0.5,5,0.0,16,0.23405051414487796,0.24120992152282822,0.24221576639008988,0.23406657938692277,0.24120156732063253,0.24216491146236302,0.21015793929602877,0.305252090500485,0.3113423729682816,0.5462813435066494,0.8127163457025688,0.873311919493247,2833.485051934703,2833.48636844165,2833.4864883819805,0.0064991500202974655,0.009836546388571663,0.01253686589677868,0.027019045186704727,0.041878205491119314,0.04291029989589301
10,0.5,5,0.5,16,0.6015269530439397,0.6354286887266618,0.6362897504102204,0.6015224374098577,0.6354680582974224,0.6362410517672203,0.26228775673866833,0.4903571112389281,0.5147779524997121,0.6615938816572076,1.1523352232853945,1.3111904044187384,2833.484957068699,2833.485733150247,2833.48588095106,0.0151265820925619,0.025212922873324373,0.028597979152109668,0.0613354562866153,0.08995730063424134,0.09726627269990296
10,0.5,5,1.0,16,1.1273157885278657,1.1940485099404676,1.203033572504864,1.1273053466168776,1.194077979724233,1.2029694731667966,0.29282892251565074,0.5705120328931151,0.5818477479980299,0.7410993994095838,1.3687293284663227,1.5118232716382352,2833.4849365972113,2833.4859150018633,2833.4859939402663,0.02878108448818479,0.049002927629255344,0.05143580372901933,0.11600412616660088,0.1691088968590604,0.18133329841507617
10,0.5,5,2.0,16,2.212694098184134,2.3444531835166487,2.370245020497818,2.212680591662092,2.344476925072801,2.370173588362857,0.39073580386389684,0.7332544196875975,0.741884863598805,1.0063399053927835,1.8019326334868246,1.9130348544340592,2833.4849038753873,2833.486331312635,2833.486660954837,0.05682256056479245,0.09232148117177416,0.10617322760357636,0.22870373395379034,0.31726863917544423,0.3692009912197314
10,0.5,10,0.0,16,0.2413828417682124,0.25389314471911195,0.25691127137743425,0.2414245038286542,0.25382019715787385,0.25693618712128496,0.41392010861622897,0.619379174231792,0.6332785451712079,1.0707686087196855,1.616964754547201,1.724695367309792,2833.485121960127,2833.4878111746857,2833.4880845872235,0.0064810296509320705,0.009757412726995514,0.012463268829591454,0.02698042994799671,0.041550212210472726,0.042497475177372124
10,0.5,10,0.5,16,0.6051530532787621,0.6378558000050539,0.6389153214337938,0.6051444395330159,0.6379388007375089,0.6388246638110968,0.5070160865526511,0.9254893175285077,0.9679894515818541,1.2719370236468075,2.2125629073941333,2.5077563031334904,2833.4849977909744,2833.4865750281474,2833.4866666398625,0.015135031933354184,0.025321732358836675,0.028806429276721925,0.061328122795759055,0.09017554224369229,0.09776621674539854
10,0.5,10,1.0,16,1.1291617913039984,1.1954057474310205,1.2038085275682633,1.1291411071611015,1.1954670122551785,1.2036837781199496,0.5192177663925395,1.0027169525685702,1.0304497777261632,1.3117984020108997,2.3446602014174367,2.7083185336689297,2833.484976923205,2833.4866127326286,2833.4867859514807,0.028787739558894698,0.049175730560138714,0.05151470050851565,0.1160316430996941,0.1695068431337987,0.1814112483354835
10,0.5,10,2.0,16,2.2135387290587336,2.3452079829676915,2.3700065732936046,2.213511805821692,2.34525665842699,2.369865407985315,0.5797532923754743,1.1634826753478367,1.1658986410405079,1.4757324377853154,2.7777942262483535,3.109387600774838,2833.4849434045373,2833.486897726472,2833.4870260890766,0.05682941699477224,0.0924925144615162,0.10625147596348951,0.22870534296082906,0.3176739498665371,0.36927072142400874
10,0.5,20,0.0,16,0.2685720981835047,0.29924188613203107,0.3107305673094759,0.26868606655704885,0.2991072839526159,0.31081815375339705,0.8243337734273235,1.2399229162241268,1.2945639549201318,2.128744827387674,3.2884211920714,3.427484659203728,2833.4853774062776,2833.4908386697084,2833.491370844824,0.00645169264602299,0.009595325908924621,0.012311468866823883,0.026916382464048372,0.0408807681546719,0.041642488362581
10,0.5,20,0.5,16,0.6198112279021865,0.6471996647002403,0.6516101859767401,0.6197964217814522,0.6473817506308455,0.6514572707845337,1.0104557888423353,1.806346621520315,1.8766336445584466,2.529739323366864,4.470612078334213,4.9009884445379015,2833.485237382353,2833.488410003209,2833.488413324067,0.015154288289275638,0.02553124084213075,0.029208060444251407,0.061337032502509214,0.09057975572290822,0.09872193251803107
10,0.5,20,1.0,16,1.1369137670933562,1.2005434790091214,1.2093687233545318,1.1368734335402721,1.2006751717328414,1.2091337779016047,1.0115830672087585,1.872915271640545,1.9362633347369995,2.5432679031205385,4.390756955356956,5.101409457335393,2833.485215722422,2833.488461972919,2833.488545278108,0.0288009696981139,0.04950821093247883,0.05166573974033447,0.11607767393143065,0.17026256373572912,0.18153902876305583
10,0.5,20,2.0,16,2.2173119699387427,2.347956396969498,2.371573173908604,2.217258544724288,2.3480585008894956,2.3712978788708132,1.03424928874008,2.027631355172522,2.061981868211666,2.612697202426517,4.729551023161971,5.50219358121673,2833.485180610935,2833.4885750560306,2833.488810702977,0.05684183443329282,0.09282138868927468,0.10640079572543465,0.22870121736582455,0.31844436045294633,0.3693820489875099
10,0.5,50,0.0,16,0.40957167729756033,0.5199552674765956,0.5522180131871549,0.40995604753857245,0.5197169389465504,0.5525373918231874,2.0577704965787422,3.1019008331837954,3.2793183600810454,5.303034547702201,8.303187556627734,8.536030791768567,2833.4870669052834,2833.5010575662236,2833.5019804361687,0.006421550104786382,0.009451220576577178,0.01182617044578642,0.026828068406335726,0.03882766176568908,0.03909449034267265
10,0.5,50,0.5,16,0.7142640212173593,0.7789471355239964,0.8167783302146722,0.7142577848139783,0.7785937176435767,0.8155955964339096,2.5293960628949312,4.537803901076152,4.604564100078554,6.332962960090893,11.244065415831894,12.081484921857566,2833.4872213746617,2833.495061419442,2833.4950776220785,0.015232694762920211,0.026093622263292177,0.030288701385020256,0.061520159448519296,0.09153420395210943,0.10123563269837099
10,0.5,50,1.0,16,1.1910915112701128,1.259726762845092,1.267533366787559,1.1910036456465396,1.2591690159368247,1.2667072708334626,2.5255554384427175,4.502797270530518,4.66228857293846,6.32525322838573,11.164011065476931,12.281482618364592,2833.487197341528,2833.4951670182472,2833.4952258808944,0.02884105521198425,0.0503994636539348,0.05206448152931172,0.11620791898248051,0.17226884057042202,0.18193959292667206
10,0.5,50,2.0,16,2.245106865252942,2.3660446556179853,2.3925282464241664,2.2449778468535677,2.3663349971761543,2.391896960483438,2.523831842950758,4.639392259813671,4.7806843330941815,6.338991604538768,11.003947899997257,12.681412628090527,2833.487157458527,2833.495365758608,2833.49556713021,0.056869208953190684,0.09370172200892066,0.10679118704908144,0.2287357954428998,0.3204338460648659,0.369490943902262
10,1.0,5,0.0,16,0.3616737509412898,0.3688178506936216,0.3704159354664082,0.36168517825637686,0.36882664468476933,0.3704464782650294,0.20930818212729024,0.3040013293249426,0.30870525143547334,0.54295761440315,0.7868469613381279,0.8684386229944607,2833.4850654018,2833.4863446248837,2833.486439108441,0.010360692040266106,0.015606656382287701,0.016093018140066914,0.04236576886747917,0.057015631405393785,0.059254287022691976
10,1.0,5,0.5,16,0.6644731496326739,0.6962870841081031,0.7010544748655428,0.6644707730760144,0.6963280434321704,0.7010134932339105,0.2656980333865756,0.4686738562501991,0.5118645700917566,0.6673430145334169,1.1422397164522202,1.2243333749246688,2833.484968084238,2833.485747413378,2833.4858208959,0.01603998231490675,0.0256684205417501,0.030794299660944623,0.06550911530996129,0.09429582765566047,0.10441379078074409
10,1.0,5,1.0,16,1.163572671225967,1.2291710379313787,1.2412668047030202,1.1635635372172768,1.2292025043587023,1.2412064917652732,0.2967835946353214,0.5492379396483333,0.5811328368370671,0.7479661416547323,1.3576433135082944,1.4249748798054185,2833.4849477597595,2833.485873506536,2833.485933943062,0.02911180257900846,0.050382981562489264,0.050796063173119195,0.11799361331398667,0.17522457571464423,0.18520312472913858
10,1.0,5,2.0,16,2.2328937661214034,2.3642629704255818,2.3927440844924495,2.2328808963376194,2.3642879870346962,2.3926742583427836,0.39462019465268267,0.718511167639072,0.7327612055757792,1.0168276321544933,1.790848491519892,1.8262036921150582,2833.4849153312925,2833.4862775489623,2833.4866255522065,0.0568262266533743,0.09356074117703539,0.10531430770367088,0.2290375616136875,0.3233008455274522,0.3731007174460066
