policy,n_contexts,mean_regret,median_regret,max_regret,mean_selected_ref_slew_us
combined_grid_oracle,45,0.0,0.0,0.0,59.77777777777778
r028_dense_anchor_proxy,45,0.09945618133518636,0.0945000419769184,0.2347572959890982,51.24444444444445
near_opt_band_clipping,45,0.10075381259031382,0.1238899802948978,0.2088869082042155,59.0
r030_refined_band_policy,45,0.10352321512228267,0.09450004197691841,0.23475729598909822,50.71111111111111
r028_switching_guarded_proxy,45,0.1062763257955026,0.0945000419769184,0.2347572959890982,50.644444444444446
calibrated_risk_proxy_projection,45,0.11869069701123076,0.1029661768583025,0.355005479949023,59.2
discrete_dense_long_table,45,0.16262043035435841,0.1029661768583025,0.4896433099138786,50.0
