dataset,input_type,input_pattern,input_pattern_vector,wait_event_vector,scale,wait_pkpk,wait_rms,projection_common,projection_m1_cos,projection_m1_sin,projection_m2_alt,projection_one_phase
modal_projection,Lambda,common,1 1 1 1,0.042830514 0.042830514 0.042830514 0.042830514,ns_per_1e-13_pattern,5.293959715046981e-13,0.04283051395496345,0.04283051395496344,2.6469798575234904e-13,-2.6469798575234904e-13,0.0,2.6469972047582497e-13
modal_projection,Lambda,m1_cos,1 0 -1 0,0 -0.042830514 0 0.042830514,ns_per_1e-13_pattern,0.0856610279099269,0.03028574685925971,1.3234899287617452e-13,0.0,-0.04283051395496345,-1.3234899287617452e-13,-1.3234986023791248e-13
modal_projection,Lambda,m1_sin,0 1 0 -1,0.042830514 0 -0.042830514 0,ns_per_1e-13_pattern,0.0856610279099269,0.03028574685925971,1.3234899287617452e-13,0.04283051395496345,0.0,1.3234899287617452e-13,0.04283051395509579
modal_projection,Lambda,m2_alt,1 -1 1 -1,-0.042830514 0.042830514 -0.042830514 0.042830514,ns_per_1e-13_pattern,0.0856610279104563,0.04283051395496345,0.0,-2.6469798575234904e-13,-2.6469798575234904e-13,-0.04283051395496344,-0.04283051395522814
modal_projection,Lambda,one_phase,1 -0.33333333 -0.33333333 -0.33333333,-0.014276838 -0.014276838 -0.014276838 0.042830514,ns_per_1e-13_pattern,0.057107351940304196,0.024728208761530052,8.823150543513236e-14,-8.823237279687035e-14,-0.028553675970063867,-0.014276837985076049,-0.01427683798516428
modal_projection,Ton,common,1 1 1 1,-0.35759607 -0.35759607 -0.35759607 -0.35759608,ns_per_ns_pattern,8.046812993711683e-09,0.3575960715685658,-0.35759607156856577,-3.0043199594764758e-09,4.023406496855841e-09,4.963083555242775e-10,-2.5080116108910917e-09
modal_projection,Ton,m1_cos,1 0 -1 0,-0.35759607 0 0.35759607 0,ns_per_ns_pattern,0.7151921421445149,0.25285860678085986,-1.5021599797382379e-09,-0.35759607107225744,0.0,-1.5021599797382379e-09,-0.3575960725744174
modal_projection,Ton,m1_sin,0 1 0 -1,0 -0.35759607 0 0.35759608,ns_per_ns_pattern,0.7151921441297483,0.25285860748274586,2.0117032484279207e-09,0.0,-0.35759607206487415,-2.0117032484279207e-09,-2.0117032414890264e-09
modal_projection,Ton,m2_alt,1 -1 1 -1,-0.35759607 0.35759607 -0.35759607 0.35759608,ns_per_ns_pattern,0.715192150164858,0.3575960715685658,4.963083555242775e-10,-3.0043199594764758e-09,-4.023406496855841e-09,-0.35759607156856577,-0.35759607457288567
modal_projection,Ton,one_phase,1 -0.33333333 -0.33333333 -0.33333333,-0.35759607 0.11919869 0.11919869 0.11919869,ns_per_ns_pattern,0.47679476610600424,0.20645818914659825,-8.360038702970307e-10,-0.23839738171627828,-1.3411354943260179e-09,-0.11919869152429524,-0.3575960732405735
