t_s,vout_V,iL_A,iload_A,vc_V,on,area_acc
9.290000000000001e-05,1.0001431644528058,12.901629098869279,10.0,0.00880936626354025,0.0,6.899872690118704e-10
9.300000000000001e-05,1.0002904922581564,12.392031316798018,10.0,0.008797529298148614,0.0,9.377063492621767e-10
9.31e-05,1.0004095175958623,11.882748888971227,10.0,0.00878795322172186,0.0,1.2098292649563715e-09
9.32e-05,1.0005002583642255,11.373795720642754,10.0,0.008780637310975944,0.0,1.5065659601503718e-09
9.33e-05,1.0005627332335312,10.865185697506327,10.0,0.008775580780409502,0.0,1.8281256086130254e-09
9.340000000000001e-05,1.0005969616449504,10.356932685324646,10.0,0.008772782782372302,0.0,2.1747166085949565e-09
9.350000000000001e-05,1.0006029638094247,9.849050529559316,10.0,0.008772242407135243,0.0,2.5465465776228576e-09
9.360000000000001e-05,1.000580760706526,9.341553055001583,10.0,0.008773958682962255,0.0,2.943822347319349e-09
9.37e-05,1.000530374083301,8.83445406540393,10.0,0.008777930576183542,0.0,3.366749958248571e-09
9.38e-05,1.0004518264530866,8.327767343112566,10.0,0.00878415699127104,0.0,3.815534654787575e-09
9.39e-05,1.0003451410943192,7.821506648700744,10.0,0.00879263677091471,0.0,4.290380880023684e-09
9.400000000000001e-05,1.0002103420493071,7.3156857206029855,10.0,0.008803368696101373,0.0,4.7914922706779075e-09
9.410000000000001e-05,1.0000474541229967,6.810318274750183,10.0,0.008816351486194429,0.0,5.3190716520545694e-09
9.42e-05,0.9998565028817064,6.305418004205599,10.0,0.008831583799016066,0.0,5.873321033017233e-09
9.43e-05,0.9996375146518521,5.800998578801775,10.0,0.00884906423093007,0.0,6.4544416009910835e-09
9.44e-05,0.9993905165186443,5.29707364477836,10.0,0.008868791316927178,0.0,7.062633716991845e-09
9.45e-05,0.9992722991693173,10.671515964951297,10.0,0.008878733092606516,1.0,0.0
9.460000000000001e-05,0.999448684083317,14.601965942251743,10.0,0.008864998903719962,0.0,3.979950965987908e-11
9.470000000000001e-05,0.9996904493788202,14.091417354864092,10.0,0.008845623059722791,0.0,2.0770361449918615e-10
9.48e-05,0.9999038581187106,13.581137646307415,10.0,0.008828510067316657,0.0,3.99306444455026e-10
9.49e-05,1.0000889256210184,13.071140784345518,10.0,0.008813659411028614,0.0,6.148204726904291e-10
9.5e-05,1.0002456679792633,12.56144071842404,10.0,0.00880107051295245,0.0,8.544574196955657e-10
9.510000000000001e-05,1.0003741020614287,12.052051379296813,10.0,0.008790742732811425,0.0,1.1184282479726774e-09
9.520000000000001e-05,1.000474245508911,11.542986678653085,10.0,0.008782675368022842,0.0,1.406943156746011e-09
9.530000000000001e-05,1.0005461167354497,11.034260508745492,10.0,0.008776867653764378,0.0,1.7202115766969621e-09
9.54e-05,1.0005897349260389,10.525886742018855,10.0,0.008773318763041734,0.0,2.058442164724462e-09
9.55e-05,1.0006051200358168,10.017879230739835,10.0,0.008772027806758242,0.0,2.4218427987307853e-09
9.56e-05,1.0005922927889348,9.510251806627382,10.0,0.008772993833786083,0.0,2.810620572432902e-09
9.570000000000001e-05,1.0005512746774046,9.003018280484074,10.0,0.00877621583103922,0.0,3.224981790199488e-09
9.580000000000001e-05,1.000482087959927,8.496192441828297,10.0,0.008781692723547917,0.0,3.665131961913724e-09
9.59e-05,1.000384755660701,7.989788058527285,10.0,0.008789423374534769,0.0,4.131275797861985e-09
9.6e-05,1.0002593015682073,7.483818876431035,10.0,0.008799406585492964,0.0,4.623617203648599e-09
9.61e-05,1.000105750233979,6.978298619007123,10.0,0.008811641096265399,0.0,5.1423592751367096e-09
9.620000000000001e-05,0.999924126971345,6.473240986976402,10.0,0.0088261255851262,0.0,5.6877042934154846e-09
9.630000000000001e-05,0.9997144578541592,5.968659657949611,10.0,0.008842858668863269,0.0,6.259853719793636e-09
