omega_over_pi,amp_area,wait_amp_ns,wait_phase_deg,gain_wait_ns_per_1e13_area
0.01,5e-14,0.0005934967763899278,66.70182942938813,0.0011869935527798556
0.01,1e-13,0.0011869932643648968,66.70182048151352,0.0011869932643648968
0.01,2e-13,0.002373985376678338,66.70180259047923,0.001186992688339169
0.01,4e-13,0.004747966125723873,66.70176735505933,0.0011869915314309683
0.01,8e-13,0.00949591370899603,66.7016963988683,0.0011869892136245038
0.01,1.6e-12,0.018991753954917086,66.70155463193244,0.001186984622182318
0.05,5e-14,0.008538096529078021,69.49750096600094,0.017076193058156042
0.05,1e-13,0.017076191978313598,69.49749918082838,0.017076191978313598
0.05,2e-13,0.03415237948862559,69.49749619002469,0.017076189744312794
0.05,4e-13,0.06830474103546527,69.49749038979604,0.017076185258866318
0.05,8e-13,0.1366094095628991,69.49747938868167,0.017076176195362388
0.05,1.6e-12,0.2732185219147513,69.49745989311167,0.017076157619671958
0.2,5e-14,0.021558355729959938,33.959065212346744,0.043116711459919875
0.2,1e-13,0.0431167115639967,33.95906536270925,0.0431167115639967
0.2,2e-13,0.0862334236099517,33.95906572485964,0.04311671180497585
0.2,4e-13,0.17246684973689377,33.959066667871795,0.04311671243422344
0.2,8e-13,0.34493371387953786,33.9590694880802,0.04311671423494223
0.2,1.6e-12,0.6898675214240543,33.959078762565035,0.04311672008900339
0.5,5e-14,0.0333320793335873,0.04570020952410284,0.0666641586671746
0.5,1e-13,0.0666641594878861,0.04570053140631691,0.0666641594878861
0.5,2e-13,0.13332832061280636,0.045700732892427674,0.06666416030640318
0.5,4e-13,0.26665665249377085,0.045700638081121764,0.06666416312344271
0.5,8e-13,0.5333133949514669,0.045700386905622545,0.06666417436893336
0.5,1.6e-12,1.0666274895455585,0.045699867898064024,0.06666421809659741
0.8,5e-14,0.025972446886828076,4.101348803072693,0.05194489377365615
0.8,1e-13,0.05194489381034099,4.101350792457099,0.05194489381034099
0.8,2e-13,0.10388978771991707,4.101354759733894,0.051944893859958534
0.8,4e-13,0.20777957613197828,4.101346772034722,0.05194489403299457
0.8,8e-13,0.41555915661265175,4.101346698434766,0.05194489457658147
0.8,1.6e-12,0.8311183433188011,4.101346373382348,0.05194489645742507
