tau_AI_us,policy,n_cases,mean_regret,max_regret,mean_score,mean_skip,mean_phase_std_ns,mean_settle_time_us
0.0,combined_grid_oracle,9,0.0,0.0,10.094242608850323,1.0,70.98555291954881,19.358666666666682
0.0,posterior_mode_aware_projection,9,0.0639075652137356,0.23475729598909822,10.158150174064057,1.0,72.97389441490922,18.60933333333335
0.0,near_opt_band_clipping,9,0.10075381259031385,0.20888690820421552,10.194996421440635,1.0,75.3074477174522,21.11955555555557
0.0,calibrated_risk_proxy_projection,9,0.12827638474977907,0.355005479949023,10.2225189936001,1.0,74.54441381493295,21.317333333333362
0.0,discrete_dense_long_table,9,0.16262043035435847,0.4896433099138786,10.256863039204681,1.0,74.4754645897095,18.528000000000016
0.0,naked_smooth_continuous,9,0.654273614810029,2.4292769243994834,10.748516223660353,1.2222222222222223,75.17341858043281,22.203333333333347
0.0,parametric_proxy_only,9,0.9869073712540002,2.406467317781288,11.081149980104321,1.3333333333333333,79.75642062406224,23.117111111111125
0.5,combined_grid_oracle,9,0.0,0.0,10.094242608850323,1.0,70.98555291954881,19.358666666666682
0.5,posterior_mode_aware_projection,9,0.0639075652137356,0.23475729598909822,10.158150174064057,1.0,72.97389441490922,18.60933333333335
0.5,near_opt_band_clipping,9,0.10075381259031385,0.20888690820421552,10.194996421440635,1.0,75.3074477174522,21.11955555555557
0.5,calibrated_risk_proxy_projection,9,0.12827638474977907,0.355005479949023,10.2225189936001,1.0,74.54441381493295,21.317333333333362
0.5,discrete_dense_long_table,9,0.16262043035435847,0.4896433099138786,10.256863039204681,1.0,74.4754645897095,18.528000000000016
0.5,naked_smooth_continuous,9,0.654273614810029,2.4292769243994834,10.748516223660353,1.2222222222222223,75.17341858043281,22.203333333333347
0.5,parametric_proxy_only,9,0.7516372163512959,2.406467317781288,10.845879825201617,1.2222222222222223,79.26103487992152,23.117111111111125
1.0,combined_grid_oracle,9,0.0,0.0,10.094242608850323,1.0,70.98555291954881,19.358666666666682
1.0,posterior_mode_aware_projection,9,0.0639075652137356,0.23475729598909822,10.158150174064057,1.0,72.97389441490922,18.60933333333335
1.0,near_opt_band_clipping,9,0.10075381259031385,0.20888690820421552,10.194996421440635,1.0,75.3074477174522,21.11955555555557
1.0,calibrated_risk_proxy_projection,9,0.12827638474977907,0.355005479949023,10.2225189936001,1.0,74.54441381493295,21.317333333333362
1.0,discrete_dense_long_table,9,0.16262043035435847,0.4896433099138786,10.256863039204681,1.0,74.4754645897095,18.528000000000016
1.0,naked_smooth_continuous,9,0.654273614810029,2.4292769243994834,10.748516223660353,1.2222222222222223,75.17341858043281,22.203333333333347
1.0,parametric_proxy_only,9,0.7660456079108712,2.406467317781288,10.860288216761193,1.2222222222222223,80.037836510004,23.117111111111125
2.0,combined_grid_oracle,9,0.0,0.0,10.094242608850323,1.0,70.98555291954881,19.358666666666682
2.0,posterior_mode_aware_projection,9,0.0639075652137356,0.23475729598909822,10.158150174064057,1.0,72.97389441490922,18.60933333333335
2.0,near_opt_band_clipping,9,0.10075381259031385,0.20888690820421552,10.194996421440635,1.0,75.3074477174522,21.11955555555557
2.0,calibrated_risk_proxy_projection,9,0.12827638474977907,0.355005479949023,10.2225189936001,1.0,74.54441381493295,21.317333333333362
2.0,discrete_dense_long_table,9,0.16262043035435847,0.4896433099138786,10.256863039204681,1.0,74.4754645897095,18.528000000000016
2.0,naked_smooth_continuous,9,0.654273614810029,2.4292769243994834,10.748516223660353,1.2222222222222223,75.17341858043281,22.203333333333347
2.0,parametric_proxy_only,9,0.9573274850883633,2.406467317781288,11.051570093938686,1.3333333333333333,78.55810361808477,22.87933333333335
5.0,combined_grid_oracle,9,0.0,0.0,10.094242608850323,1.0,70.98555291954881,19.358666666666682
5.0,posterior_mode_aware_projection,9,0.0639075652137356,0.23475729598909822,10.158150174064057,1.0,72.97389441490922,18.60933333333335
5.0,calibrated_risk_proxy_projection,9,0.08034794605703761,0.23475729598909822,10.174590554907361,1.0,73.57010249673854,20.17911111111114
5.0,near_opt_band_clipping,9,0.10075381259031385,0.20888690820421552,10.194996421440635,1.0,75.3074477174522,21.11955555555557
5.0,discrete_dense_long_table,9,0.16262043035435847,0.4896433099138786,10.256863039204681,1.0,74.4754645897095,18.528000000000016
5.0,naked_smooth_continuous,9,0.654273614810029,2.4292769243994834,10.748516223660353,1.2222222222222223,75.17341858043281,22.203333333333347
5.0,parametric_proxy_only,9,0.8234586848014547,2.406467317781288,10.917701293651776,1.3333333333333333,74.4631169069018,21.93444444444448
