tau_ai_us,policy,mean_undershoot_mV,max_undershoot_mV,mean_abs_final_vout_error_mV,mean_skip_count,mean_settle_time_us,mean_phase_spacing_std_ns,mean_base_score,mean_score_settle005,mean_score_settle010,source
0.0,fixed_40us_precommitted,5.702344346410967,10.8973455449204,0.5173424019911946,1.0,13.431333333333374,81.82589006899353,9.856204549782026,10.527771216448677,11.199337883115376,zero_delay_reference_from_dense_long_sweep
0.0,fixed_80us_precommitted,5.292083324183117,10.1510195226028,0.5234900084024606,1.0,32.169333333333334,80.9491138361229,9.434555609308026,11.043022275974707,12.651488942641373,zero_delay_reference_from_dense_long_sweep
0.0,oracle_base_table,5.39241975798055,10.4520288239951,0.5098154679799387,1.0,28.008666666666667,69.86206642727194,9.299476554505928,10.699909887839274,12.100343221172606,zero_delay_reference_from_dense_long_sweep
0.0,table_settle005,5.5222383480854065,10.4520288239951,0.50605048525428,1.0,18.935333333333375,69.04652079738267,9.409219249287338,10.35598591595399,11.302752582620656,zero_delay_reference_from_dense_long_sweep
0.0,table_settle010,6.0380343159471535,11.5919004786901,0.5227362003175087,1.0,8.640000000000008,84.5178065444739,10.251126647154123,10.683126647154122,11.115126647154124,zero_delay_reference_from_dense_long_sweep
0.5,fixed_40us_precommitted,5.702344346410967,10.8973455449204,0.5173424019911946,1.0,13.431333333333374,81.82589006899353,9.856204549782026,10.52777121644871,11.199337883115376,derived_simulink_delayed_reference
0.5,fixed_80us_precommitted,5.292083324183117,10.1510195226028,0.5234900084024606,1.0,32.169333333333334,80.9491138361229,9.434555609308026,11.043022275974707,12.651488942641373,derived_simulink_delayed_reference
0.5,oracle_base_table,5.2416913187583,10.1510195226028,0.5171840513154004,1.0,28.1973333333334,68.68553502685963,9.132586070610884,10.54245273727755,11.952319403944218,derived_simulink_delayed_reference
0.5,table_settle005,5.32552399434672,10.1510195226028,0.5171368505835584,1.0,19.314000000000043,78.56841116748933,9.414029068280056,10.37972906828006,11.345429068280051,derived_simulink_delayed_reference
0.5,table_settle010,5.668236339377296,10.9298746859956,0.5170563751052404,1.0,8.350666666666719,80.47521607147132,9.794797035911964,10.212330369245297,10.629863702578616,derived_simulink_delayed_reference
1.0,fixed_40us_precommitted,5.702344346410967,10.8973455449204,0.5173424019911946,1.0,13.431333333333374,81.82589006899353,9.856204549782026,10.52777121644871,11.199337883115376,derived_simulink_delayed_reference
1.0,fixed_80us_precommitted,5.292083324183117,10.1510195226028,0.5234900084024606,1.0,32.169333333333334,80.9491138361229,9.434555609308026,11.043022275974707,12.651488942641373,derived_simulink_delayed_reference
1.0,oracle_base_table,5.1336367143425266,9.95690808114824,0.5251442233141037,0.6666666666666666,28.615333333333332,80.29701896972803,8.59805465038453,10.028821317051213,11.459587983717885,derived_simulink_delayed_reference
1.0,table_settle005,5.176987504940113,9.95690808114824,0.515229712970059,1.0,20.10533333333334,73.00476139019574,9.152312445714093,10.157579112380759,11.162845779047426,derived_simulink_delayed_reference
1.0,table_settle010,5.41982737269971,10.5399657076185,0.524025010265309,1.0,8.241333333333358,81.779049055955,9.579433364084117,9.991500030750784,10.403566697417453,derived_simulink_delayed_reference
2.0,fixed_40us_precommitted,5.702344346410967,10.8973455449204,0.5173424019911946,1.0,13.431333333333374,81.82589006899353,9.856204549782026,10.52777121644871,11.199337883115376,derived_simulink_delayed_reference
2.0,fixed_80us_precommitted,5.292083324183117,10.1510195226028,0.5234900084024606,1.0,32.169333333333334,80.9491138361229,9.434555609308026,11.043022275974707,12.651488942641373,derived_simulink_delayed_reference
2.0,oracle_base_table,4.991791129978905,9.66620086009962,0.5267735070954016,0.6666666666666666,28.81800000000007,78.7659242059174,8.427216454525997,9.868116454525996,11.309016454525995,derived_simulink_delayed_reference
2.0,table_settle005,5.000154006638782,9.66620086009962,0.5064681388206407,0.6666666666666666,20.12133333333341,63.21609278538557,8.104277334500473,9.110344001167139,10.11641066783382,derived_simulink_delayed_reference
2.0,table_settle010,5.0914118644329225,9.92457963934823,0.5130059744253473,1.0,11.850666666666708,76.22674116574069,9.128952662173097,9.72148599550643,10.314019328839754,derived_simulink_delayed_reference
5.0,fixed_40us_precommitted,5.702344346410967,10.8973455449204,0.5173424019911946,1.0,13.431333333333374,81.82589006899353,9.856204549782026,10.52777121644871,11.199337883115376,derived_simulink_delayed_reference
5.0,fixed_80us_precommitted,5.292083324183117,10.1510195226028,0.5234900084024606,1.0,32.169333333333334,80.9491138361229,9.434555609308026,11.043022275974707,12.651488942641373,derived_simulink_delayed_reference
5.0,oracle_base_table,4.911786142537991,9.45126639013172,0.5182764417723806,1.0,32.77000000000007,76.4851919809911,8.95976642393021,10.598266423930212,12.236766423930213,derived_simulink_delayed_reference
5.0,table_settle005,4.92496885713367,9.45126639013172,0.51871611352546,0.6666666666666666,25.476666666666713,80.30829199780577,8.383184143948593,9.65701747728193,10.930850810615281,derived_simulink_delayed_reference
5.0,table_settle010,4.92496885713367,9.45126639013172,0.518675497932571,1.0,17.06466666666668,81.76148455860157,9.078874046238287,9.932107379571624,10.785340712904947,derived_simulink_delayed_reference
