target_label,objective,tau_ai_us,policy,selected_family,selected_slew_us,selected_objective_score,context_best_score,dense_score,regret,margin_vs_dense,r_hat_total_risk,band_decision,rationale,deployability
20A,score_settle005,0.5,r032_delay_aware_band_projection,r031_intermediate_candidate,50.0,2.26877971837553,2.26877971837553,2.78474769188034,0.0,-0.5159679735048099,0.2,plant_admissible,short-delay settling-aware band chooses 50us,calibrated_candidate
20A,score_settle005,1.0,dense_fallback,r030_dense_baseline,30.0,4.55941532061638,2.22102661291168,4.55941532061638,2.3383887077047003,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,score_settle005,1.0,direct_proxy_override,r030_original_proxy,66.0,2.87127449305964,2.22102661291168,4.55941532061638,0.6502478801479601,-1.6881408275567402,0.85,blocked,old proxy direct override,negative_control
20A,score_settle005,1.0,r031_best_intermediate_only,r031_intermediate_candidate,38.0,2.22102661291168,2.22102661291168,4.55941532061638,0.0,-2.3383887077047003,0.2,plant_admissible,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,score_settle005,1.0,nearest_tau_loto_predictor,r031_intermediate_candidate,50.0,4.41047487268998,2.22102661291168,4.55941532061638,2.1894482597783,-0.1489404479264005,0.55,candidate_only,nearest training tau requested 50us,leave_one_tau_stress
20A,score_settle005,1.0,r032_delay_aware_band_projection,r031_intermediate_candidate,38.0,2.22102661291168,2.22102661291168,4.55941532061638,0.0,-2.3383887077047003,0.2,plant_admissible,mid-delay settling-aware band chooses 38us,calibrated_candidate
20A,score_settle005,2.0,dense_fallback,r030_dense_baseline,30.0,2.09256629605036,2.09256629605036,2.09256629605036,0.0,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,score_settle005,2.0,direct_proxy_override,r030_original_proxy,66.0,4.88551818189707,2.09256629605036,2.09256629605036,2.79295188584671,2.79295188584671,0.85,blocked,old proxy direct override,negative_control
20A,score_settle005,2.0,r031_best_intermediate_only,r031_intermediate_candidate,50.0,2.30068098631418,2.09256629605036,2.09256629605036,0.20811469026382,0.20811469026382,0.55,candidate_only,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,score_settle005,2.0,nearest_tau_loto_predictor,r031_intermediate_candidate,38.0,2.5790621856906,2.09256629605036,2.09256629605036,0.48649588964024026,0.48649588964024026,0.55,candidate_only,nearest training tau requested 38us,leave_one_tau_stress
20A,score_settle005,2.0,r032_delay_aware_band_projection,r030_dense_baseline,30.0,2.09256629605036,2.09256629605036,2.09256629605036,0.0,0.0,0.05,plant_admissible,dense fallback outside locally verified improvement band,calibrated_candidate
20A,score_settle005,5.0,dense_fallback,r030_dense_baseline,30.0,2.73882913105384,2.73882913105384,2.73882913105384,0.0,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,score_settle005,5.0,direct_proxy_override,r030_original_proxy,66.0,5.03429093425979,2.73882913105384,2.73882913105384,2.2954618032059497,2.2954618032059497,0.85,blocked,old proxy direct override,negative_control
20A,score_settle005,5.0,r031_best_intermediate_only,r031_intermediate_candidate,58.0,2.9609124370565,2.73882913105384,2.73882913105384,0.2220833060026597,0.2220833060026597,0.55,candidate_only,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,score_settle005,5.0,nearest_tau_loto_predictor,r030_dense_baseline,30.0,2.73882913105384,2.73882913105384,2.73882913105384,0.0,0.0,0.05,plant_admissible,nearest training tau requested 30us,leave_one_tau_stress
20A,score_settle005,5.0,r032_delay_aware_band_projection,r030_dense_baseline,30.0,2.73882913105384,2.73882913105384,2.73882913105384,0.0,0.0,0.05,plant_admissible,dense fallback outside locally verified improvement band,calibrated_candidate
