target_label,objective,tau_ai_us,switching_best_policy,switching_best_slew_us,switching_best_score,offline_best_policy_within_priority,offline_best_slew_us,offline_best_score_within_priority,ranking_preserved,proxy_score,dense_score,near_opt_score,posterior_score,proxy_regret,dense_regret,near_opt_regret,posterior_regret,proxy_minus_dense_score
10A,score_settle005,0.0,discrete_dense_long_table,50,10.0080780723436,discrete_dense_long_table,50,10.0080780723436,True,10.3630835522926,10.0080780723436,10.2169649805478,10.0080780723436,0.3550054799489999,0.0,0.20888690820419953,0.0,0.3550054799489999
10A,score_settle005,0.5,discrete_dense_long_table,50,9.97895863160984,discrete_dense_long_table,50,10.0080780723436,True,10.1698695130183,9.97895863160984,10.3260313162746,9.97895863160984,0.1909108814084597,0.0,0.3470726846647594,0.0,0.1909108814084597
10A,score_settle005,1.0,discrete_dense_long_table,50,9.6825486343165,discrete_dense_long_table,50,10.0080780723436,True,10.28935531155,9.6825486343165,9.83875044249705,9.6825486343165,0.6068066772335001,0.0,0.1562018081805494,0.0,0.6068066772335001
10A,score_settle005,2.0,near_opt_band_clipping,34,9.2886305745693,discrete_dense_long_table,50,10.0080780723436,False,10.2899002804402,9.37760156788186,9.2886305745693,9.37760156788186,1.0012697058709001,0.08897099331255909,0.0,0.08897099331255909,0.912298712558341
near0A,score_settle010,0.0,near_opt_band_clipping,35,19.6731964742753,near_opt_band_clipping,35,19.6731964742753,True,19.7840637899695,19.7840637899695,19.6731964742753,19.7840637899695,0.11086731569420039,0.11086731569420039,0.0,0.11086731569420039,0.0
near0A,score_settle010,0.5,calibrated_risk_proxy_projection,30,18.7810436397149,near_opt_band_clipping,35,19.6731964742753,False,18.7810436397149,18.7810436397149,19.1583925636082,18.7810436397149,0.0,0.0,0.377348923893301,0.0,0.0
near0A,score_settle010,1.0,calibrated_risk_proxy_projection,30,16.6888429400467,near_opt_band_clipping,35,19.6731964742753,False,16.6888429400467,16.6888429400467,17.2061828193833,16.6888429400467,0.0,0.0,0.5173398793365998,0.0,0.0
near0A,score_settle010,2.0,calibrated_risk_proxy_projection,30,18.6379180053274,near_opt_band_clipping,35,19.6731964742753,False,18.6379180053274,18.6379180053274,19.0836603109971,18.6379180053274,0.0,0.0,0.4457423056697003,0.0,0.0
