success,error_message,r027_case_id,target_label,objective,policy,source_policy,policy_kind,policy_role,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,tau_ai_us,delay_events,ref_start_delay_us,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,vout_initial_V,vout_peak_V,vout_min_V,overshoot_mV,undershoot_mV,t_peak_us,settle_time_us,first_gate_edge_us,max_gate_gap_us,skip_count_est,final_vout_error_mV,final_il1_mean_A,final_il2_mean_A,final_il3_mean_A,final_il4_mean_A,final_il_total_mean_A,final_load_error_A,final_il_phase_imbalance_A,final_il_m2_projection_A,final_phase_spacing_mean_ns,final_phase_spacing_std_ns,final_phase_sequence_error_fraction,base_score,score_settle005,score_settle010,selected_objective_score,switching_regret_vs_best_in_run
1,,R031_0001,10A,score_settle010,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0.1,10,30,31,31,1,2,1,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00419623534961,0.995320429988204,4.19623534961322,4.67957001179586,1.01000000000002,14.6540000000001,2.8840000000035,1.06200000000002,1,-0.546920297634257,2.43913015569714,2.46500923456202,2.65148570936819,2.48744751778254,10.0430726174099,0.043072617409889,0.212355553671049,0.0345397781801902,574.60606060606,88.316879541676,0,8.99282790026364,9.72552790026364,10.4582279002636,10.4582279002636,0.0108970722943695
1,,R031_0002,10A,score_settle010,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0.1,10,30,33,33,1,2,1,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00419623534961,0.995342073917859,4.19623534961322,4.65792608214066,1.01000000000002,14.762,2.88200000000353,1.03599999999999,1,-0.552951360305864,2.20892595881546,2.5411910180575,2.6810446042775,2.56723182738431,9.99839340853476,-0.00160659146523656,0.472118645462043,-0.0546130705872134,576.545454545455,88.0126692761374,0,8.97113082796927,9.70923082796928,10.4473308279693,10.4473308279693,0
1,,R031_0003,10A,score_settle010,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0.1,10,30,31,31,5,10,5,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,18.242,2.85400000000352,1.11999999999655,1,-0.546215769420488,2.2942234333336,2.49457580467569,2.62213401837208,2.6142831984248,10.0252164548062,0.0252164548061771,0.327910585038484,-0.0481253878487021,575.575757575966,84.2526694277058,0,8.52358159721604,9.43568159721604,10.347781597216,10.347781597216,0.00824891835413766
1,,R031_0004,10A,score_settle010,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0.1,10,30,33,33,5,10,5,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00419623534961,0.995707687560759,4.19623534961322,4.29231243924144,1.01000000000002,18.804,2.85400000000352,1.09200000000001,1,-0.557317266105417,2.38582371423943,2.52840316659473,2.59698095801962,2.44526209554665,9.95646993440044,-0.0435300655995601,0.211157243780192,0.00228485252941879,575.411764705883,80.4751486757523,0,8.4591326788619,9.3993326788619,10.3395326788619,10.3395326788619,0
1,,R031_0005,20A,base,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0,20,20,82,82,0.5,1,0.5,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00223500775282,0.998960053601315,2.23500775282348,1.03994639868477,0.53400000000006,14.4060000000001,1.83800000000352,0.697999999999986,0,-0.435018558168299,5.07734091056356,5.00432392700776,4.93344508756914,4.99227647204501,20.0073863971855,0.00738639718546352,0.14389582299442,0.00354639976998028,533.729729729917,34.0853970496881,0,2.15667289784683,2.87697289784683,3.59727289784683,2.15667289784683,0
1,,R031_0006,20A,base,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0,20,20,84,84,0.5,1,0.5,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00223500775282,0.998960053601315,2.23500775282348,1.03994639868477,0.53400000000006,14.9600000000001,1.83800000000352,0.711999999996574,0,-0.44221410966061,5.09584297321582,5.09886264835871,4.84712677956568,4.91728608794229,19.9591184890825,-0.0408815109175045,0.251735868793036,-0.0182947458798768,532.324324324325,35.0362683507282,0,2.18288587535994,2.93088587535994,3.67888587535994,2.18288587535994,0.0262129775131124
1,,R031_0007,20A,base,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0,20,20,82,82,2,4,2,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00223500775282,0.999008220401759,2.23500775282348,0.991779598240816,0.53400000000006,16.5300000000001,1.83200000000353,0.723999999996546,0,-0.446068288884272,5.10372591335045,4.98541042701223,4.88730957060415,5.0106804921809,19.9871264031477,-0.0128735968522733,0.216416342746303,-0.00126385880963364,534.444444444445,43.5654655763858,0,2.3091571986528,3.13565719865281,3.96215719865281,2.3091571986528,0.113281264268008
1,,R031_0008,20A,base,r031_minimal_candidate,r031_tightened_bepsilon_sw,heldout_validation_candidate,candidate,1,0,20,20,84,84,2,4,2,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN,0.99951236273925,1.00223500775282,0.999008220401759,2.23500775282348,0.991779598240816,0.53400000000006,16.534,1.83200000000353,0.65200000000002,0,-0.435449585037495,5.1451070836045,5.04930766304074,4.87005815026253,4.93223162635843,19.9967045232662,-0.00329547673379338,0.275048933341971,0.00840648611696571,532.108108108109,38.4323375553242,0,2.1958759343848,3.0225759343848,3.8492759343848,2.1958759343848,0
