policy,n_cases,mean_switching_regret,max_switching_regret,mean_selected_objective,mean_settle_time_us,mean_undershoot_mV,mean_phase_std_ns,online_available_inputs_only,best_context_count,zero_regret_context_count
r028_switching_guarded_proxy,8,0.0,0.0,14.092402121525442,18.94625000000005,7.613260285685021,90.081665226856,False,2,8
discrete_dense_long_table,8,0.024979788625844934,0.11086731569420039,14.117381910151288,19.23025000000005,7.673745939035695,89.11243663363233,True,6,6
posterior_mode_aware_projection,8,0.024979788625844934,0.11086731569420039,14.117381910151288,19.23025000000005,7.673745939035695,89.11243663363233,False,0,6
r028_dense_anchor_proxy,8,0.024979788625844934,0.11086731569420039,14.117381910151288,19.23025000000005,7.673745939035695,89.11243663363233,True,0,6
near_opt_band_clipping,8,0.25657406374363867,0.5173398793365998,14.34897618526908,18.037250000000025,7.64437572270603,98.61261931844162,False,0,2
calibrated_risk_proxy_projection,8,0.28310750751950753,1.0012697058709001,14.37550962904495,22.172750000000075,7.642560717553708,95.81789641287057,True,0,3
fixed_40us_precommitted,8,0.9713966711826079,3.1769145825848994,15.06379879270805,19.678000000000047,7.95381595581524,101.07086081555201,True,0,0
fixed_80us_precommitted,8,2.170825676584207,5.298266895198299,16.26322779810965,41.049,7.390945085448475,102.8536596894116,True,0,0
