event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
80,0.00049284,42.84,2,2,1111,1,1,0,0,1,0,pre_shed
81,0.00049336,43.36,3,3,1111,1,1,0,1,2,0,pre_shed
82,0.00049404,44.0400000000001,4,4,1111,1,1,0,2,3,0,pre_shed
83,0.000494522,44.5220000000001,1,1,1111,1,1,0,3,0,0,pre_shed
84,0.000495004,45.0040000000001,2,2,1111,1,1,0,0,1,0,pre_shed
85,0.00049552,45.5200000000001,3,3,1111,1,1,0,1,2,0,pre_shed
86,0.00049612,46.1200000000001,4,4,1111,1,1,0,2,3,0,pre_shed
87,0.00049668,46.68,1,1,1111,1,1,0,3,0,0,pre_shed
88,0.000497162000000007,47.1620000000069,2,2,1111,1,1,0,0,1,0,pre_shed
89,0.00049768,47.68,3,3,1111,1,1,0,1,2,0,pre_shed
90,0.00049824,48.2400000000001,4,4,1111,1,1,0,2,3,0,pre_shed
91,0.00049884,48.8400000000001,1,1,1111,1,1,0,3,0,0,pre_shed
92,0.000499322,49.3220000000001,2,2,1111,1,1,0,0,1,0,pre_shed
93,0.00049984,49.84,3,3,1111,1,1,0,1,2,0,pre_shed
94,0.0005004,50.4,4,4,1111,1,1,0,2,3,0,pre_shed
95,0.00050092,50.9200000000001,1,1,1111,1,1,0,3,0,0,pre_shed
96,0.00050152,51.52,2,2,1111,1,1,0,0,1,0,pre_shed
97,0.000502002000000007,52.0020000000069,3,3,1111,1,1,0,1,2,0,pre_shed
98,0.00050256,52.56,4,4,1111,1,1,0,2,3,0,pre_shed
99,0.00050312,53.12,1,1,1111,1,1,0,3,0,0,pre_shed
100,0.000503602000000007,53.602000000007,2,2,1111,1,1,0,0,1,0,pre_shed
101,0.00050416,54.16,3,3,1111,1,1,0,1,2,0,pre_shed
102,0.00050468,54.6800000000001,4,4,1111,1,1,0,2,3,0,pre_shed
103,0.00050524,55.24,1,1,1111,1,1,0,3,0,0,pre_shed
104,0.000505722000000007,55.722000000007,2,2,1111,1,1,0,0,1,0,pre_shed
105,0.00050628,56.28,3,3,1111,1,1,0,1,2,0,pre_shed
106,0.0005068,56.8000000000001,4,4,1111,1,1,0,2,3,0,pre_shed
107,0.00050736,57.36,1,1,1111,1,1,0,3,0,0,pre_shed
108,0.00050788,57.8800000000001,2,2,1111,1,1,0,0,1,0,pre_shed
109,0.0005084,58.4,3,3,1111,1,1,0,1,2,0,pre_shed
110,0.00050896,58.96,4,4,1111,1,1,0,2,3,0,pre_shed
111,0.00050948,59.48,1,1,1111,1,1,0,3,0,0,pre_shed
112,0.00051004,60.04,2,2,1111,1,1,0,0,1,0,pre_shed
113,0.000510522000000007,60.522000000007,3,3,1111,1,1,0,1,2,0,pre_shed
114,0.00051104,61.0400000000001,4,4,1111,1,1,0,2,3,0,pre_shed
