event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
73,0.00048709,37.09,3,3,1111,1,1,0,1,2,3,post_shed
74,0.000487572,37.572,4,4,1111,1,1,0,2,3,3,post_shed
75,0.000488054,38.054,1,1,1111,1,1,0,3,0,3,post_shed
76,0.000488536,38.536,2,2,1111,1,1,0,0,1,3,post_shed
77,0.000489018000000007,39.018000000007,3,3,1111,1,1,0,1,2,3,post_shed
78,0.00048992,39.92,4,4,1111,1,1,0,2,3,3,post_shed
79,0.000490402000000007,40.402000000007,1,1,1111,1,1,0,3,0,3,post_shed
80,0.000490884000000007,40.884000000007,2,2,1111,1,1,0,0,1,3,post_shed
81,0.000491366000000007,41.366000000007,3,3,1111,1,1,0,1,2,3,post_shed
82,0.000491848000000007,41.848000000007,4,4,1111,1,1,0,2,3,3,post_shed
83,0.000492330000000007,42.330000000007,1,1,1111,1,1,0,3,0,3,post_shed
84,0.000492812000000007,42.812000000007,2,2,1111,1,1,0,0,1,3,post_shed
85,0.000493294000000007,43.294000000007,3,3,1111,1,1,0,1,2,3,post_shed
86,0.000493776000000007,43.776000000007,4,4,1111,1,1,0,2,3,3,post_shed
87,0.000494258000000007,44.258000000007,1,1,1111,1,1,0,3,0,3,post_shed
88,0.000494740000000007,44.740000000007,2,2,1111,1,1,0,0,1,3,post_shed
89,0.000495222000000007,45.222000000007,3,3,1111,1,1,0,1,2,3,post_shed
90,0.0004958,45.8,4,4,1111,1,1,0,2,3,3,post_shed
91,0.000496282000000007,46.282000000007,1,1,1111,1,1,0,3,0,3,post_shed
92,0.000496764000000007,46.764000000007,2,2,1111,1,1,0,0,1,3,post_shed
93,0.000497246000000007,47.246000000007,3,3,1111,1,1,0,1,2,3,post_shed
94,0.00049788,47.88,4,4,1111,1,1,0,2,3,3,post_shed
95,0.000498362000000007,48.362000000007,1,1,1111,1,1,0,3,0,3,post_shed
96,0.000498844000000007,48.844000000007,2,2,1111,1,1,0,0,1,3,post_shed
97,0.000499326000000007,49.326000000007,3,3,1111,1,1,0,1,2,3,post_shed
98,0.000499808000000007,49.808000000007,4,4,1111,1,1,0,2,3,3,post_shed
99,0.000500290000000007,50.290000000007,1,1,1111,1,1,0,3,0,3,post_shed
100,0.000500772000000007,50.772000000007,2,2,1111,1,1,0,0,1,3,post_shed
101,0.000501254000000007,51.254000000007,3,3,1111,1,1,0,1,2,3,post_shed
102,0.000501736000000007,51.736000000007,4,4,1111,1,1,0,2,3,3,post_shed
103,0.000502218000000007,52.218000000007,1,1,1111,1,1,0,3,0,3,post_shed
104,0.000502700000000007,52.700000000007,2,2,1111,1,1,0,0,1,3,post_shed
105,0.000503182000000007,53.182000000007,3,3,1111,1,1,0,1,2,3,post_shed
106,0.000503664000000007,53.664000000007,4,4,1111,1,1,0,2,3,3,post_shed
107,0.000504146000000007,54.146000000007,1,1,1111,1,1,0,3,0,3,post_shed
108,0.000504628000000007,54.628000000007,2,2,1111,1,1,0,0,1,3,post_shed
109,0.000505110000000007,55.110000000007,3,3,1111,1,1,0,1,2,3,post_shed
110,0.0005058,55.8000000000001,4,4,1111,1,1,0,2,3,3,post_shed
111,0.000506282000000007,56.282000000007,1,1,1111,1,1,0,3,0,3,post_shed
112,0.000506764000000007,56.764000000007,2,2,1111,1,1,0,0,1,3,post_shed
113,0.000507246000000007,57.246000000007,3,3,1111,1,1,0,1,2,3,post_shed
114,0.000507728000000007,57.728000000007,4,4,1111,1,1,0,2,3,3,post_shed
115,0.000508210000000007,58.210000000007,1,1,1111,1,1,0,3,0,3,post_shed
116,0.000508692000000007,58.692000000007,2,2,1111,1,1,0,0,1,3,post_shed
117,0.000509174000000007,59.174000000007,3,3,1111,1,1,0,1,2,3,post_shed
118,0.000509656000000007,59.656000000007,4,4,1111,1,1,0,2,3,3,post_shed
119,0.000510138000000007,60.138000000007,1,1,1111,1,1,0,3,0,3,post_shed
120,0.000510620000000007,60.620000000007,2,2,1111,1,1,0,0,1,3,post_shed
121,0.000511102000000007,61.102000000007,3,3,1111,1,1,0,1,2,3,post_shed
122,0.000511584000000007,61.584000000007,4,4,1111,1,1,0,2,3,3,post_shed
123,0.000512066000000007,62.066000000007,1,1,1111,1,1,0,3,0,3,post_shed
124,0.000512548000000007,62.548000000007,2,2,1111,1,1,0,0,1,3,post_shed
125,0.000513030000000007,63.030000000007,3,3,1111,1,1,0,1,2,3,post_shed
126,0.00051356,63.5600000000001,4,4,1111,1,1,0,2,3,3,post_shed
127,0.000514042000000007,64.042000000007,1,1,1111,1,1,0,3,0,3,post_shed
128,0.000514524000000007,64.524000000007,2,2,1111,1,1,0,0,1,3,post_shed
129,0.000515006000000007,65.006000000007,3,3,1111,1,1,0,1,2,3,post_shed
130,0.00051572,65.72,4,4,1111,1,1,0,2,3,3,post_shed
131,0.000516202000000007,66.2020000000069,1,1,1111,1,1,0,3,0,3,post_shed
132,0.000516684000000007,66.6840000000069,2,2,1111,1,1,0,0,1,3,post_shed
133,0.000517166000000007,67.1660000000069,3,3,1111,1,1,0,1,2,3,post_shed
134,0.000517648000000007,67.648000000007,4,4,1111,1,1,0,2,3,3,post_shed
135,0.000518130000000007,68.130000000007,1,1,1111,1,1,0,3,0,3,post_shed
136,0.000518612000000007,68.612000000007,2,2,1111,1,1,0,0,1,3,post_shed
137,0.000519094000000007,69.094000000007,3,3,1111,1,1,0,1,2,3,post_shed
138,0.000519576000000007,69.576000000007,4,4,1111,1,1,0,2,3,3,post_shed
