event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
79,0.000490134000000007,40.134000000007,1,1,1010,1,1,0,3,0,5,post_shed
80,0.000490616000000007,40.616000000007,2,3,1010,1,1,0,0,1,5,post_shed
81,0.000491098000000007,41.098000000007,1,1,1010,1,1,0,1,2,5,post_shed
82,0.000491580000000007,41.580000000007,2,3,1010,1,1,0,2,3,5,post_shed
83,0.000492062000000007,42.062000000007,1,1,1010,1,1,0,3,0,5,post_shed
84,0.000492544000000007,42.544000000007,2,3,1010,1,1,0,0,1,5,post_shed
85,0.000493026000000007,43.026000000007,1,1,1010,1,1,0,1,2,5,post_shed
86,0.000493508000000007,43.508000000007,2,3,1010,1,1,0,2,3,5,post_shed
87,0.000493990000000007,43.990000000007,1,1,1010,1,1,0,3,0,5,post_shed
88,0.000494472000000007,44.472000000007,2,3,1010,1,1,0,0,1,5,post_shed
89,0.000494954000000007,44.954000000007,1,1,1010,1,1,0,1,2,5,post_shed
90,0.000495436000000007,45.436000000007,2,3,1010,1,1,0,2,3,5,post_shed
91,0.000495918000000007,45.918000000007,1,1,1010,1,1,0,3,0,5,post_shed
92,0.000496400000000007,46.400000000007,2,3,1010,1,1,0,0,1,5,post_shed
93,0.000496882000000007,46.882000000007,1,1,1010,1,1,0,1,2,5,post_shed
94,0.000497364000000007,47.364000000007,2,3,1010,1,1,0,2,3,5,post_shed
95,0.000497846000000007,47.846000000007,1,1,1010,1,1,0,3,0,5,post_shed
96,0.000498328000000007,48.328000000007,2,3,1010,1,1,0,0,1,5,post_shed
97,0.000498810000000007,48.810000000007,1,1,1010,1,1,0,1,2,5,post_shed
98,0.000499292000000007,49.292000000007,2,3,1010,1,1,0,2,3,5,post_shed
99,0.000499774000000007,49.774000000007,1,1,1010,1,1,0,3,0,5,post_shed
100,0.000500256000000007,50.256000000007,2,3,1010,1,1,0,0,1,5,post_shed
101,0.000500738000000007,50.738000000007,1,1,1010,1,1,0,1,2,5,post_shed
102,0.000501220000000007,51.220000000007,2,3,1010,1,1,0,2,3,5,post_shed
103,0.000501702000000007,51.702000000007,1,1,1010,1,1,0,3,0,5,post_shed
104,0.000502184000000007,52.184000000007,2,3,1010,1,1,0,0,1,5,post_shed
105,0.000502666000000007,52.666000000007,1,1,1010,1,1,0,1,2,5,post_shed
106,0.000503148000000007,53.148000000007,2,3,1010,1,1,0,2,3,5,post_shed
107,0.000503630000000007,53.630000000007,1,1,1010,1,1,0,3,0,5,post_shed
108,0.000504112000000007,54.112000000007,2,3,1010,1,1,0,0,1,5,post_shed
109,0.000504594000000007,54.594000000007,1,1,1010,1,1,0,1,2,5,post_shed
110,0.000505076000000007,55.076000000007,2,3,1010,1,1,0,2,3,5,post_shed
111,0.000505558000000007,55.558000000007,1,1,1010,1,1,0,3,0,5,post_shed
112,0.000506040000000007,56.040000000007,2,3,1010,1,1,0,0,1,5,post_shed
113,0.000506522000000007,56.522000000007,1,1,1010,1,1,0,1,2,5,post_shed
114,0.000507004000000007,57.004000000007,2,3,1010,1,1,0,2,3,5,post_shed
115,0.000507486000000007,57.486000000007,1,1,1010,1,1,0,3,0,5,post_shed
116,0.000507968000000007,57.968000000007,2,3,1010,1,1,0,0,1,5,post_shed
117,0.000508450000000007,58.450000000007,1,1,1010,1,1,0,1,2,5,post_shed
118,0.000508932000000007,58.932000000007,2,3,1010,1,1,0,2,3,5,post_shed
119,0.000509414000000007,59.414000000007,1,1,1010,1,1,0,3,0,5,post_shed
120,0.000509896000000007,59.896000000007,2,3,1010,1,1,0,0,1,5,post_shed
121,0.000510378000000007,60.378000000007,1,1,1010,1,1,0,1,2,5,post_shed
122,0.000510860000000007,60.860000000007,2,3,1010,1,1,0,2,3,5,post_shed
123,0.000511342000000007,61.342000000007,1,1,1010,1,1,0,3,0,5,post_shed
124,0.000511824000000007,61.824000000007,2,3,1010,1,1,0,0,1,5,post_shed
125,0.000512306000000007,62.306000000007,1,1,1010,1,1,0,1,2,5,post_shed
126,0.000512788000000007,62.788000000007,2,3,1010,1,1,0,2,3,5,post_shed
127,0.000513270000000007,63.270000000007,1,1,1010,1,1,0,3,0,5,post_shed
128,0.000513752000000007,63.752000000007,2,3,1010,1,1,0,0,1,5,post_shed
129,0.000514234000000007,64.234000000007,1,1,1010,1,1,0,1,2,5,post_shed
130,0.000514716000000007,64.716000000007,2,3,1010,1,1,0,2,3,5,post_shed
131,0.000515198000000007,65.198000000007,1,1,1010,1,1,0,3,0,5,post_shed
132,0.000515680000000007,65.680000000007,2,3,1010,1,1,0,0,1,5,post_shed
133,0.000516162000000007,66.162000000007,1,1,1010,1,1,0,1,2,5,post_shed
134,0.000516644000000007,66.644000000007,2,3,1010,1,1,0,2,3,5,post_shed
135,0.000517126000000007,67.126000000007,1,1,1010,1,1,0,3,0,5,post_shed
136,0.000517608000000007,67.608000000007,2,3,1010,1,1,0,0,1,5,post_shed
137,0.000518090000000007,68.090000000007,1,1,1010,1,1,0,1,2,5,post_shed
138,0.000518572000000007,68.572000000007,2,3,1010,1,1,0,2,3,5,post_shed
139,0.000519054000000007,69.054000000007,1,1,1010,1,1,0,3,0,5,post_shed
140,0.000519536000000007,69.536000000007,2,3,1010,1,1,0,0,1,5,post_shed
