event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
72,0.000486952000000003,36.9520000000035,2,3,1010,1,1,0,0,1,5,post_shed
73,0.000487434000000003,37.4340000000035,1,1,1010,1,1,0,1,2,5,post_shed
74,0.000487916000000003,37.9160000000035,4,4,1111,1,1,0,2,3,1,post_shed
75,0.000488398000000007,38.398000000007,1,1,1010,1,1,0,3,0,5,post_shed
76,0.000488880000000007,38.880000000007,2,3,1010,1,1,0,0,1,5,post_shed
77,0.000489362000000007,39.362000000007,1,1,1010,1,1,0,1,2,5,post_shed
78,0.000489844000000007,39.844000000007,2,3,1010,1,1,0,2,3,5,post_shed
79,0.000490326000000007,40.326000000007,1,1,1111,1,1,0,3,0,1,post_shed
80,0.000490808000000007,40.808000000007,2,2,1111,1,1,0,0,1,1,post_shed
81,0.000491290000000007,41.290000000007,3,3,1111,1,1,0,1,2,1,post_shed
82,0.000491772000000007,41.772000000007,4,4,1111,1,1,0,2,3,1,post_shed
83,0.000492254000000007,42.254000000007,1,1,1010,1,1,0,3,0,5,post_shed
84,0.000492736000000007,42.736000000007,2,3,1010,1,1,0,0,1,5,post_shed
85,0.000493218000000007,43.218000000007,1,1,1010,1,1,0,1,2,5,post_shed
86,0.000493700000000007,43.700000000007,2,3,1010,1,1,0,2,3,5,post_shed
87,0.000494182000000007,44.182000000007,1,1,1010,1,1,0,3,0,5,post_shed
88,0.000494664000000007,44.664000000007,2,2,1111,1,1,0,0,1,1,post_shed
89,0.000495146000000007,45.146000000007,3,3,1111,1,1,0,1,2,1,post_shed
90,0.000495628000000007,45.628000000007,4,4,1111,1,1,0,2,3,1,post_shed
91,0.000496110000000007,46.110000000007,1,1,1010,1,1,0,3,0,5,post_shed
92,0.000496592000000007,46.592000000007,2,3,1010,1,1,0,0,1,5,post_shed
93,0.000497074000000007,47.074000000007,1,1,1010,1,1,0,1,2,5,post_shed
94,0.000497556000000007,47.556000000007,2,3,1010,1,1,0,2,3,5,post_shed
95,0.000498038000000007,48.038000000007,1,1,1010,1,1,0,3,0,5,post_shed
96,0.000498520000000007,48.520000000007,2,3,1010,1,1,0,0,1,5,post_shed
97,0.000499002000000007,49.002000000007,1,1,1010,1,1,0,1,2,5,post_shed
98,0.000499484000000007,49.484000000007,2,3,1010,1,1,0,2,3,5,post_shed
99,0.000499966000000007,49.966000000007,1,1,1010,1,1,0,3,0,5,post_shed
100,0.000500448000000007,50.448000000007,2,3,1010,1,1,0,0,1,5,post_shed
101,0.000500930000000007,50.930000000007,1,1,1010,1,1,0,1,2,5,post_shed
102,0.000501412000000007,51.412000000007,2,3,1010,1,1,0,2,3,5,post_shed
103,0.000501894000000007,51.894000000007,1,1,1010,1,1,0,3,0,5,post_shed
104,0.000502376000000007,52.376000000007,2,3,1010,1,1,0,0,1,5,post_shed
105,0.000502858000000007,52.858000000007,1,1,1010,1,1,0,1,2,5,post_shed
106,0.000503340000000007,53.340000000007,2,3,1010,1,1,0,2,3,5,post_shed
107,0.000503822000000007,53.822000000007,1,1,1010,1,1,0,3,0,5,post_shed
108,0.000504304000000007,54.304000000007,2,3,1010,1,1,0,0,1,5,post_shed
109,0.000504786000000007,54.786000000007,1,1,1010,1,1,0,1,2,5,post_shed
110,0.000505268000000007,55.268000000007,2,3,1010,1,1,0,2,3,5,post_shed
111,0.000505750000000007,55.750000000007,1,1,1010,1,1,0,3,0,5,post_shed
112,0.000506232000000007,56.232000000007,2,3,1010,1,1,0,0,1,5,post_shed
113,0.000506714000000007,56.714000000007,1,1,1010,1,1,0,1,2,5,post_shed
114,0.000507196000000007,57.196000000007,2,3,1010,1,1,0,2,3,5,post_shed
115,0.000507678000000007,57.678000000007,1,1,1010,1,1,0,3,0,5,post_shed
116,0.000508160000000007,58.160000000007,2,3,1010,1,1,0,0,1,5,post_shed
117,0.000508642000000007,58.642000000007,1,1,1010,1,1,0,1,2,5,post_shed
118,0.000509124000000007,59.124000000007,2,3,1010,1,1,0,2,3,5,post_shed
119,0.000509606000000007,59.606000000007,1,1,1010,1,1,0,3,0,5,post_shed
120,0.000510088000000007,60.088000000007,2,3,1010,1,1,0,0,1,5,post_shed
121,0.000510570000000007,60.570000000007,1,1,1010,1,1,0,1,2,5,post_shed
122,0.000511052000000007,61.052000000007,2,3,1010,1,1,0,2,3,5,post_shed
123,0.000511534000000007,61.534000000007,1,1,1010,1,1,0,3,0,5,post_shed
124,0.000512016000000007,62.016000000007,2,3,1010,1,1,0,0,1,5,post_shed
125,0.000512498000000007,62.498000000007,1,1,1010,1,1,0,1,2,5,post_shed
126,0.000512980000000007,62.980000000007,2,3,1010,1,1,0,2,3,5,post_shed
127,0.000513462000000007,63.462000000007,1,1,1010,1,1,0,3,0,5,post_shed
128,0.000513944000000007,63.944000000007,2,3,1010,1,1,0,0,1,5,post_shed
129,0.000514426000000007,64.426000000007,1,1,1010,1,1,0,1,2,5,post_shed
130,0.000514908000000007,64.908000000007,2,3,1010,1,1,0,2,3,5,post_shed
131,0.000515390000000007,65.390000000007,1,1,1010,1,1,0,3,0,5,post_shed
132,0.000515872000000007,65.872000000007,2,3,1010,1,1,0,0,1,5,post_shed
133,0.000516354000000007,66.354000000007,1,1,1010,1,1,0,1,2,5,post_shed
134,0.000516836000000007,66.836000000007,2,3,1010,1,1,0,2,3,5,post_shed
135,0.000517318000000007,67.318000000007,1,1,1010,1,1,0,3,0,5,post_shed
136,0.000517800000000007,67.800000000007,2,3,1010,1,1,0,0,1,5,post_shed
137,0.000518282000000007,68.282000000007,1,1,1010,1,1,0,1,2,5,post_shed
138,0.000518764000000007,68.764000000007,2,3,1010,1,1,0,2,3,5,post_shed
139,0.000519246000000007,69.246000000007,1,1,1010,1,1,0,3,0,5,post_shed
140,0.000519728000000007,69.728000000007,2,3,1010,1,1,0,0,1,5,post_shed
