variant,success,error_message,variant_description,model_file,scheduler_audit_csv,residual_threshold_detail,N_active_initial,N_active_final,phase_shed_request_count,phase_shed_accept_count,phase_shed_reject_count,active_phase_transition_time_us,shed_accept_time_us,peak_overshoot_mV,peak_undershoot_mV,settling_time_us,final_Vout_error_mV,Vout_ripple_pp_mV,real_max_current_imbalance_A,real_rms_current_imbalance_A,sensed_max_current_imbalance_A,sensed_rms_current_imbalance_A,residual_current_at_shed_phase2_A,residual_current_at_shed_phase4_A,residual_current_threshold_A,residual_current_check,phase_order_error_rate,phase_order_error_rate_pre_shed,phase_order_error_rate_during_shed,phase_order_error_rate_post_shed,phase_spacing_std_ns,REQ_count,accepted_REQ_count,dropped_REQ_count,inactive_phase_REQ_count,REQ_reject_count,current_limit_hit,Ton_trim_usage,Lambda_trim_usage,a_S_enable_time_us,fallback_count,guard_clamp_count,classification_hint
S0,1,,S0_fixed_four_phase_reference,E:\Desktop\codex\models\derived\E040S0_S0_fixed4_iqcot_20260629.slx,E:\Desktop\codex\experiments\E040_active_phase_add_shed\S0_shed_phase_minimal\e040_s0_s0_fixed4_scheduler_audit.csv,"95th percentile of abs(IL2,IL4) over 4.000-12.000 us after step plus 0.25 A; envelope95=9.68948 A",4,4,0,0,0,NaN,NaN,1.13166065626613,0.451249840300871,69.852,0.698732775107336,0.964283208858774,0.0448779075893961,0.0293713419510928,0.0448779075893961,0.0293713419510928,NaN,NaN,9.93948398348494,NaN,0,0,NaN,NaN,40.1833612244963,130,130,0,0,0,0,0,0,NaN,0,0,fixed_four_phase_reference
S1,1,,S1_immediate_four_to_two_shed,E:\Desktop\codex\models\derived\E040S0_S1_immed_shed_iqcot_20260629.slx,E:\Desktop\codex\experiments\E040_active_phase_add_shed\S0_shed_phase_minimal\e040_s0_s1_immediate_shed_scheduler_audit.csv,"95th percentile of abs(IL2,IL4) over 4.000-12.000 us after step plus 0.25 A; envelope95=9.68948 A",4,2,1,1,0,5.42101086242752e-14,5.42101086242752e-14,0.944587252097451,663.61354027009,NaN,-624.356971771694,632.558126256688,0.220293181087467,0.220293181087465,0.220293181087467,0.220293181087465,14.6727455147055,8.912818442563,9.93948398348494,0,0,NaN,NaN,0,97.4820714221551,140,140,0,0,0,1,0,0,NaN,0,0,current_limit_hit
S2,1,,S2_guarded_shed_dwell_lockout,E:\Desktop\codex\models\derived\E040S0_S2_guard_shed_iqcot_20260629.slx,E:\Desktop\codex\experiments\E040_active_phase_add_shed\S0_shed_phase_minimal\e040_s0_s2_guarded_shed_scheduler_audit.csv,"95th percentile of abs(IL2,IL4) over 4.000-12.000 us after step plus 0.25 A; envelope95=9.68948 A",4,2,1,12,12,3.00000000000002,3.00000000000002,1.48593174128631,543.832849929215,NaN,-500.714149487448,524.140077603199,0.342981019106862,0.342981019106862,0.342981019106862,0.342981019106862,9.58001231908805,4.01162808327158,9.93948398348494,1,0.265151515151515,0,0,0.265151515151515,101.101201915787,140,140,0,0,0,1,0,0,NaN,0,0,current_limit_hit
S3,1,,S3_guarded_shed_residual_relock_aS,E:\Desktop\codex\models\derived\E040S0_S3_resid_as_iqcot_20260629.slx,E:\Desktop\codex\experiments\E040_active_phase_add_shed\S0_shed_phase_minimal\e040_s0_s3_residual_as_scheduler_audit.csv,"95th percentile of abs(IL2,IL4) over 4.000-12.000 us after step plus 0.25 A; envelope95=9.68948 A",4,3.79064762277441,1,34,35,3.00000000000002,3.00000000000002,1.48593174128631,19.1326367632586,NaN,-3.3712434703657,16.6519051356485,18.1826146352608,10.923084003284,18.1826146352608,10.923084003284,9.58001231908805,4.01162808327158,9.93948398348494,1,0.992307692307692,0,0,0.992307692307692,109.381904492046,138,138,0,0,0,0,0.727893457418315,0,6.79200000000004,0,1095,shed_not_accepted
