event_index,time_us,shed_state,active_phase_set,N_active,logical_slot,physical_phase_selected,REQ_in_phase,REQ_accept_phase,REQ_reject_reason,phase_idx_before,phase_idx_after,commit_armed,commit_done,fallback_4ph_triggered,fallback_reason
73,39.16,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
74,39.72,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
75,40.202000000007,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
76,40.7200000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
77,41.2800000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
78,41.84,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
79,42.322000000007,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
80,42.84,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
81,43.36,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
82,44.0400000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
83,44.5220000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
84,45.0040000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
85,45.5200000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
86,46.1200000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
87,46.68,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
88,47.1620000000069,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
89,47.68,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
90,48.2400000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
91,48.8400000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
92,49.3220000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
93,49.84,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
94,50.4,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
95,50.9200000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
96,51.52,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
97,52.0020000000069,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
98,52.56,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
99,53.12,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
100,53.602000000007,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
101,54.16,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
102,54.6800000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
103,55.24,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
104,55.722000000007,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
105,56.28,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
106,56.8000000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
107,57.36,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
108,57.8800000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
109,58.4,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
110,58.96,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
111,59.48,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
112,60.04,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
113,60.522000000007,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
114,61.0400000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
115,61.6000000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
116,62.16,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
117,62.6800000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
118,63.2,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
119,63.7200000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
120,64.3200000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
121,64.8020000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
122,65.32,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
123,65.88,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
124,66.4000000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
125,67,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
126,67.4820000000069,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
127,68.04,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
128,68.6,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
129,69.082000000007,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
130,69.64,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
