variant,event_index,time_after_step_us,REQ_accept_phase,expected_phase,phase_order_error_event,phase_idx_sample,REQ_reject_reason_sample,phase_order_error_sample
R1-U3,87,38.5540000000069,1,1,0,0,0,0
R1-U3,88,39.0360000000069,2,2,0,1,0,0
R1-U3,89,39.5180000000069,3,3,0,2,0,0
R1-U3,90,40.0000000000069,4,4,0,3,0,0
R1-U3,91,40.4820000000069,1,1,0,0,0,0
R1-U3,92,40.9640000000069,2,2,0,1,0,0
R1-U3,93,41.4460000000069,3,3,0,2,0,0
R1-U3,94,41.9280000000069,4,4,0,3,0,0
R1-U3,95,42.4100000000069,1,1,0,0,0,0
R1-U3,96,42.8920000000069,2,2,0,1,0,0
R1-U3,97,43.3740000000069,3,3,0,2,0,0
R1-U3,98,43.8560000000069,4,4,0,3,0,0
R1-U3,99,44.3380000000069,1,1,0,0,0,0
R1-U3,100,44.8200000000069,2,2,0,1,0,0
R1-U3,101,45.3020000000069,3,3,0,2,0,0
R1-U3,102,45.7840000000069,4,4,0,3,0,0
R1-U3,103,46.2660000000069,1,1,0,0,0,0
R1-U3,104,46.7480000000069,2,2,0,1,0,0
R1-U3,105,47.2300000000069,3,3,0,2,0,0
R1-U3,106,47.7120000000069,4,4,0,3,0,0
R1-U3,107,48.1940000000069,1,1,0,0,0,0
R1-U3,108,48.6760000000069,2,2,0,1,0,0
R1-U3,109,49.1580000000069,3,3,0,2,0,0
R1-U3,110,49.6400000000069,4,4,0,3,0,0
R1-U3,111,50.1220000000069,1,1,0,0,0,0
R1-U3,112,50.6040000000069,2,2,0,1,0,0
R1-U3,113,51.0860000000069,3,3,0,2,0,0
R1-U3,114,51.5680000000069,4,4,0,3,0,0
R1-U3,115,52.0500000000069,1,1,0,0,0,0
R1-U3,116,52.5320000000069,2,2,0,1,0,0
R1-U3,117,53.0140000000069,3,3,0,2,0,0
R1-U3,118,53.4960000000069,4,4,0,3,0,0
R1-U3,119,53.9780000000069,1,1,0,0,0,0
R1-U3,120,54.4600000000069,2,2,0,1,0,0
R1-U3,121,54.9420000000069,3,3,0,2,0,0
R1-U3,122,55.4240000000069,4,4,0,3,0,0
R1-U3,123,55.9060000000001,1,1,0,0,0,0
R1-U3,124,56.3880000000001,2,2,0,1,0,0
R1-U3,125,56.8700000000001,3,3,0,2,0,0
R1-U3,126,57.3520000000001,4,4,0,3,0,0
R1-U3,127,57.8340000000001,1,1,0,0,0,0
R1-U3,128,58.3160000000001,2,2,0,1,0,0
R1-U3,129,58.7980000000001,3,3,0,2,0,0
R1-U3,130,59.2800000000001,4,4,0,3,0,0
R1-U3,131,59.7620000000001,1,1,0,0,0,0
R1-U3,132,60.2440000000001,2,2,0,1,0,0
R1-U3,133,60.7260000000001,3,3,0,2,0,0
R1-U3,134,61.2080000000001,4,4,0,3,0,0
R1-U3,135,61.6900000000001,1,1,0,0,0,0
R1-U3,136,62.1720000000001,2,2,0,1,0,0
R1-U3,137,62.6540000000001,3,3,0,2,0,0
R1-U3,138,63.1360000000001,4,4,0,3,0,0
R1-U3,139,63.6180000000001,1,1,0,0,0,0
R1-U3,140,64.1000000000001,2,2,0,1,0,0
R1-U3,141,64.5820000000001,3,3,0,2,0,0
R1-U3,142,65.0640000000001,4,4,0,3,0,0
R1-U3,143,65.5460000000001,1,1,0,0,0,0
R1-U3,144,66.0280000000001,2,2,0,1,0,0
R1-U3,145,66.5100000000001,3,3,0,2,0,0
R1-U3,146,66.9920000000001,4,4,0,3,0,0
R1-U3,147,67.4740000000001,1,1,0,0,0,0
R1-U3,148,67.9560000000001,2,2,0,1,0,0
R1-U3,149,68.4380000000001,3,3,0,2,0,0
R1-U3,150,68.9200000000001,4,4,0,3,0,0
R1-U3,151,69.4020000000001,1,1,0,0,0,0
R1-U3,152,69.8840000000001,2,2,0,1,0,0
R1-U3,153,70.3660000000001,3,3,0,2,0,0
R1-U3,154,70.8480000000001,4,4,0,3,0,0
R1-U3,155,71.3300000000001,1,1,0,0,0,0
R1-U3,156,71.8120000000001,2,2,0,1,0,0
R1-U3,157,72.2940000000001,3,3,0,2,0,0
R1-U3,158,72.7760000000001,4,4,0,3,0,0
R1-U3,159,73.2580000000001,1,1,0,0,0,0
R1-U3,160,73.7400000000001,2,2,0,1,0,0
R1-U3,161,74.2220000000001,3,3,0,2,0,0
R1-U3,162,74.7040000000001,4,4,0,3,0,0
R1-U3,163,75.1860000000001,1,1,0,0,0,0
R1-U3,164,75.6680000000001,2,2,0,1,0,0
R1-U3,165,76.1500000000001,3,3,0,2,0,0
R1-U3,166,76.6320000000001,4,4,0,3,0,0
R1-U3,167,77.1140000000001,1,1,0,0,0,0
R1-U3,168,77.5960000000001,2,2,0,1,0,0
R1-U3,169,78.0780000000001,3,3,0,2,0,0
R1-U3,170,78.5600000000001,4,4,0,3,0,0
R1-U3,171,79.0420000000001,1,1,0,0,0,0
R1-U3,172,79.5240000000001,2,2,0,1,0,0
R1-U3,173,80.0060000000001,3,3,0,2,0,0
R1-U3,174,80.4880000000001,4,4,0,3,0,0
R1-U3,175,80.9700000000001,1,1,0,0,0,0
R1-U3,176,81.4520000000001,2,2,0,1,0,0
R1-U3,177,81.9340000000001,3,3,0,2,0,0
R1-U3,178,82.4160000000001,4,4,0,3,0,0
R1-U3,179,82.8980000000001,1,1,0,0,0,0
R1-U3,180,83.3800000000001,2,2,0,1,0,0
R1-U3,181,83.8620000000001,3,3,0,2,0,0
R1-U3,182,84.3440000000001,4,4,0,3,0,0
R1-U3,183,84.8260000000001,1,1,0,0,0,0
R1-U3,184,85.3080000000001,2,2,0,1,0,0
R1-U3,185,85.7900000000001,3,3,0,2,0,0
R1-U3,186,86.2720000000001,4,4,0,3,0,0
R1-U3,187,86.7540000000001,1,1,0,0,0,0
R1-U3,188,87.2360000000001,2,2,0,1,0,0
R1-U3,189,87.7180000000001,3,3,0,2,0,0
R1-U3,190,88.2000000000001,4,4,0,3,0,0
R1-U3,191,88.6820000000001,1,1,0,0,0,0
R1-U3,192,89.1640000000001,2,2,0,1,0,0
R1-U3,193,89.6460000000001,3,3,0,2,0,0
R1-U4,1,5.42101086242752e-14,3,NaN,0,2,0,0
R1-U4,2,0.160000000000026,4,4,0,3,0,0
R1-U4,3,0.320000000000051,1,1,0,0,0,0
R1-U4,4,0.480000000000023,2,2,0,1,0,0
R1-U4,5,0.640000000000048,3,3,0,2,0,0
R1-U4,6,0.800000000000019,4,4,0,3,0,0
R1-U4,7,0.960000000000045,1,1,0,0,0,0
R1-U4,8,1.12000000000002,2,2,0,1,0,0
R1-U4,9,1.28000000000004,3,3,0,2,0,0
R1-U4,10,1.44000000000007,4,4,0,3,0,0
R1-U4,11,1.92200000000007,1,1,0,0,0,0
R1-U4,12,2.40400000000007,2,2,0,1,0,0
R1-U4,13,2.88600000000007,3,3,0,2,0,0
R1-U4,14,3.36800000000007,4,4,0,3,0,0
R1-U4,15,3.85000000000007,1,1,0,0,0,0
R1-U4,16,4.33200000000007,2,2,0,1,0,0
R1-U4,17,4.81400000000007,3,3,0,2,0,0
R1-U4,18,5.29600000000007,4,4,0,3,0,0
R1-U4,19,5.77800000000007,1,1,0,0,0,0
R1-U4,20,6.26000000000007,2,2,0,1,0,0
R1-U4,21,6.74200000000006,3,3,0,2,0,0
R1-U4,22,7.22400000000007,4,4,0,3,0,0
R1-U4,23,7.70600000000006,1,1,0,0,0,0
R1-U4,24,8.18800000000006,2,2,0,1,0,0
R1-U4,25,8.67000000000006,3,3,0,2,0,0
R1-U4,26,9.15200000000006,4,4,0,3,0,0
R1-U4,27,9.63400000000006,1,1,0,0,0,0
R1-U4,28,10.1160000000001,2,2,0,1,0,0
R1-U4,29,10.5980000000001,3,3,0,2,0,0
R1-U4,30,11.0800000000001,4,4,0,3,0,0
R1-U4,31,11.5620000000001,1,1,0,0,0,0
R1-U4,32,12.0440000000001,2,2,0,1,0,0
R1-U4,33,12.5260000000001,3,3,0,2,0,0
R1-U4,34,13.0080000000001,4,4,0,3,0,0
R1-U4,35,13.4900000000001,1,1,0,0,0,0
R1-U4,36,13.9720000000001,2,2,0,1,0,0
R1-U4,37,14.4540000000001,3,3,0,2,0,0
R1-U4,38,14.9360000000001,4,4,0,3,0,0
R1-U4,39,15.4180000000001,1,1,0,0,0,0
R1-U4,40,15.9000000000001,2,2,0,1,0,0
R1-U4,41,16.3820000000001,3,3,0,2,0,0
R1-U4,42,16.8640000000001,4,4,0,3,0,0
R1-U4,43,17.3460000000001,1,1,0,0,0,0
R1-U4,44,17.8280000000001,2,2,0,1,0,0
R1-U4,45,18.3100000000001,3,3,0,2,0,0
R1-U4,46,18.7920000000001,4,4,0,3,0,0
R1-U4,47,19.2740000000001,1,1,0,0,0,0
R1-U4,48,19.7560000000001,2,2,0,1,0,0
R1-U4,49,20.2380000000001,3,3,0,2,0,0
R1-U4,50,20.7200000000001,4,4,0,3,0,0
R1-U4,51,21.2020000000001,1,1,0,0,0,0
R1-U4,52,21.6840000000001,2,2,0,1,0,0
R1-U4,53,22.1660000000001,3,3,0,2,0,0
R1-U4,54,22.6480000000001,4,4,0,3,0,0
R1-U4,55,23.1300000000001,1,1,0,0,0,0
R1-U4,56,23.6120000000001,2,2,0,1,0,0
R1-U4,57,24.0940000000001,3,3,0,2,0,0
R1-U4,58,24.5760000000001,4,4,0,3,0,0
R1-U4,59,25.0580000000001,1,1,0,0,0,0
R1-U4,60,25.5400000000001,2,2,0,1,0,0
R1-U4,61,26.0220000000001,3,3,0,2,0,0
R1-U4,62,26.5040000000001,4,4,0,3,0,0
R1-U4,63,26.9860000000001,1,1,0,0,0,0
R1-U4,64,27.4680000000001,2,2,0,1,0,0
R1-U4,65,27.9500000000001,3,3,0,2,0,0
R1-U4,66,28.4320000000001,4,4,0,3,0,0
R1-U4,67,28.9140000000001,1,1,0,0,0,0
R1-U4,68,29.3960000000001,2,2,0,1,0,0
R1-U4,69,29.8780000000001,3,3,0,2,0,0
R1-U4,70,30.3600000000001,4,4,0,3,0,0
R1-U4,71,30.8420000000001,1,1,0,0,0,0
R1-U4,72,31.3240000000001,2,2,0,1,0,0
R1-U4,73,31.8060000000001,3,3,0,2,0,0
R1-U4,74,32.2880000000001,4,4,0,3,0,0
R1-U4,75,32.7700000000001,1,1,0,0,0,0
R1-U4,76,33.2520000000001,2,2,0,1,0,0
R1-U4,77,33.7340000000001,3,3,0,2,0,0
R1-U4,78,34.2160000000001,4,4,0,3,0,0
R1-U4,79,34.6980000000001,1,1,0,0,0,0
R1-U4,80,35.18,2,2,0,1,0,0
R1-U4,81,35.6620000000001,3,3,0,2,0,0
R1-U4,82,36.1440000000001,4,4,0,3,0,0
R1-U4,83,36.6260000000001,1,1,0,0,0,0
R1-U4,84,37.1080000000001,2,2,0,1,0,0
R1-U4,85,37.5900000000001,3,3,0,2,0,0
R1-U4,86,38.0720000000001,4,4,0,3,0,0
R1-U4,87,38.5540000000069,1,1,0,0,0,0
R1-U4,88,39.0360000000069,2,2,0,1,0,0
R1-U4,89,39.5180000000069,3,3,0,2,0,0
R1-U4,90,40.0000000000069,4,4,0,3,0,0
R1-U4,91,40.4820000000069,1,1,0,0,0,0
R1-U4,92,40.9640000000069,2,2,0,1,0,0
R1-U4,93,41.4460000000069,3,3,0,2,0,0
R1-U4,94,41.9280000000069,4,4,0,3,0,0
R1-U4,95,42.4100000000069,1,1,0,0,0,0
R1-U4,96,42.8920000000069,2,2,0,1,0,0
R1-U4,97,43.3740000000069,3,3,0,2,0,0
R1-U4,98,43.8560000000069,4,4,0,3,0,0
R1-U4,99,44.3380000000069,1,1,0,0,0,0
R1-U4,100,44.8200000000069,2,2,0,1,0,0
R1-U4,101,45.3020000000069,3,3,0,2,0,0
R1-U4,102,45.7840000000069,4,4,0,3,0,0
R1-U4,103,46.2660000000069,1,1,0,0,0,0
R1-U4,104,46.7480000000069,2,2,0,1,0,0
R1-U4,105,47.2300000000069,3,3,0,2,0,0
R1-U4,106,47.7120000000069,4,4,0,3,0,0
R1-U4,107,48.1940000000069,1,1,0,0,0,0
R1-U4,108,48.6760000000069,2,2,0,1,0,0
R1-U4,109,49.1580000000069,3,3,0,2,0,0
R1-U4,110,49.6400000000069,4,4,0,3,0,0
R1-U4,111,50.1220000000069,1,1,0,0,0,0
R1-U4,112,50.6040000000069,2,2,0,1,0,0
R1-U4,113,51.0860000000069,3,3,0,2,0,0
R1-U4,114,51.5680000000069,4,4,0,3,0,0
R1-U4,115,52.0500000000069,1,1,0,0,0,0
R1-U4,116,52.5320000000069,2,2,0,1,0,0
R1-U4,117,53.0140000000069,3,3,0,2,0,0
R1-U4,118,53.4960000000069,4,4,0,3,0,0
R1-U4,119,53.9780000000069,1,1,0,0,0,0
R1-U4,120,54.4600000000069,2,2,0,1,0,0
R1-U4,121,54.9420000000069,3,3,0,2,0,0
R1-U4,122,55.4240000000069,4,4,0,3,0,0
R1-U4,123,55.9060000000001,1,1,0,0,0,0
R1-U4,124,56.3880000000001,2,2,0,1,0,0
R1-U4,125,56.8700000000001,3,3,0,2,0,0
R1-U4,126,57.3520000000001,4,4,0,3,0,0
R1-U4,127,57.8340000000001,1,1,0,0,0,0
R1-U4,128,58.3160000000001,2,2,0,1,0,0
R1-U4,129,58.7980000000001,3,3,0,2,0,0
R1-U4,130,59.2800000000001,4,4,0,3,0,0
R1-U4,131,59.7620000000001,1,1,0,0,0,0
R1-U4,132,60.2440000000001,2,2,0,1,0,0
R1-U4,133,60.7260000000001,3,3,0,2,0,0
R1-U4,134,61.2080000000001,4,4,0,3,0,0
R1-U4,135,61.6900000000001,1,1,0,0,0,0
R1-U4,136,62.1720000000001,2,2,0,1,0,0
R1-U4,137,62.6540000000001,3,3,0,2,0,0
R1-U4,138,63.1360000000001,4,4,0,3,0,0
R1-U4,139,63.6180000000001,1,1,0,0,0,0
R1-U4,140,64.1000000000001,2,2,0,1,0,0
R1-U4,141,64.5820000000001,3,3,0,2,0,0
R1-U4,142,65.0640000000001,4,4,0,3,0,0
R1-U4,143,65.5460000000001,1,1,0,0,0,0
R1-U4,144,66.0280000000001,2,2,0,1,0,0
R1-U4,145,66.5100000000001,3,3,0,2,0,0
R1-U4,146,66.9920000000001,4,4,0,3,0,0
R1-U4,147,67.4740000000001,1,1,0,0,0,0
R1-U4,148,67.9560000000001,2,2,0,1,0,0
R1-U4,149,68.4380000000001,3,3,0,2,0,0
R1-U4,150,68.9200000000001,4,4,0,3,0,0
R1-U4,151,69.4020000000001,1,1,0,0,0,0
R1-U4,152,69.8840000000001,2,2,0,1,0,0
R1-U4,153,70.3660000000001,3,3,0,2,0,0
R1-U4,154,70.8480000000001,4,4,0,3,0,0
R1-U4,155,71.3300000000001,1,1,0,0,0,0
R1-U4,156,71.8120000000001,2,2,0,1,0,0
R1-U4,157,72.2940000000001,3,3,0,2,0,0
R1-U4,158,72.7760000000001,4,4,0,3,0,0
R1-U4,159,73.2580000000001,1,1,0,0,0,0
R1-U4,160,73.7400000000001,2,2,0,1,0,0
R1-U4,161,74.2220000000001,3,3,0,2,0,0
R1-U4,162,74.7040000000001,4,4,0,3,0,0
R1-U4,163,75.1860000000001,1,1,0,0,0,0
R1-U4,164,75.6680000000001,2,2,0,1,0,0
R1-U4,165,76.1500000000001,3,3,0,2,0,0
R1-U4,166,76.6320000000001,4,4,0,3,0,0
R1-U4,167,77.1140000000001,1,1,0,0,0,0
R1-U4,168,77.5960000000001,2,2,0,1,0,0
R1-U4,169,78.0780000000001,3,3,0,2,0,0
R1-U4,170,78.5600000000001,4,4,0,3,0,0
R1-U4,171,79.0420000000001,1,1,0,0,0,0
R1-U4,172,79.5240000000001,2,2,0,1,0,0
R1-U4,173,80.0060000000001,3,3,0,2,0,0
R1-U4,174,80.4880000000001,4,4,0,3,0,0
R1-U4,175,80.9700000000001,1,1,0,0,0,0
R1-U4,176,81.4520000000001,2,2,0,1,0,0
R1-U4,177,81.9340000000001,3,3,0,2,0,0
R1-U4,178,82.4160000000001,4,4,0,3,0,0
R1-U4,179,82.8980000000001,1,1,0,0,0,0
R1-U4,180,83.3800000000001,2,2,0,1,0,0
R1-U4,181,83.8620000000001,3,3,0,2,0,0
R1-U4,182,84.3440000000001,4,4,0,3,0,0
R1-U4,183,84.8260000000001,1,1,0,0,0,0
R1-U4,184,85.3080000000001,2,2,0,1,0,0
R1-U4,185,85.7900000000001,3,3,0,2,0,0
R1-U4,186,86.2720000000001,4,4,0,3,0,0
R1-U4,187,86.7540000000001,1,1,0,0,0,0
R1-U4,188,87.2360000000001,2,2,0,1,0,0
R1-U4,189,87.7180000000001,3,3,0,2,0,0
R1-U4,190,88.2000000000001,4,4,0,3,0,0
R1-U4,191,88.6820000000001,1,1,0,0,0,0
R1-U4,192,89.1640000000001,2,2,0,1,0,0
R1-U4,193,89.6460000000001,3,3,0,2,0,0
