variant,role,fast_req_enable,fast_req_window_us,fast_req_period_ns,fast_req_pulse_width_ns,Ton_boost_enable,Ton_boost_gain,Ton_boost_window_us,Tton_boost_max_ns,Ton_boost_decay_policy,boost_decay_rate_1ps,late_recovery_guard_enable,fallback_to_nominal_policy,source_note
R1-B0,carry_forward_B0,0,3,160,25,0,0,3,260,none,500000,0,window_end,B3 settings recovered from scripts/matlab/run/e020_run_load_rise_small_chunk.m and scripts/matlab/build/e020_build_load_rise_observable_model.m
R1-B3,carry_forward_B3,1,3,160,25,1,1,3,260,B3_exponential_5e5_1ps,500000,0,window_end,B3 settings recovered from scripts/matlab/run/e020_run_load_rise_small_chunk.m and scripts/matlab/build/e020_build_load_rise_observable_model.m
R1-U1,new_R1_run,1,3,160,25,1,1,1.5,260,short_window_B3_exponential,500000,0,window_end,B3 settings recovered from scripts/matlab/run/e020_run_load_rise_small_chunk.m and scripts/matlab/build/e020_build_load_rise_observable_model.m
R1-U2,new_R1_run,1,3,160,25,1,0.75,1.5,245,short_window_0p75_gain_exponential,500000,0,window_end,B3 settings recovered from scripts/matlab/run/e020_run_load_rise_small_chunk.m and scripts/matlab/build/e020_build_load_rise_observable_model.m
R1-U3,new_R1_run,1,1.5,160,25,1,1,3,260,strong_initial_exponential_decay_1e6_1ps,1000000,0,window_end,B3 settings recovered from scripts/matlab/run/e020_run_load_rise_small_chunk.m and scripts/matlab/build/e020_build_load_rise_observable_model.m
R1-U4,new_R1_run,1,1.5,160,25,1,1,3,260,U3_plus_late_recovery_guard,1000000,1,window_end_or_late_guard,B3 settings recovered from scripts/matlab/run/e020_run_load_rise_small_chunk.m and scripts/matlab/build/e020_build_load_rise_observable_model.m
