case,description,variant,success,peak_overshoot_mV,early_local_peak_0_2us_mV,recovery_peak_2_12us_mV,late_settling_12_80us_abs_mV,undershoot_penalty_mV,final_error_mV,phase_current_peak_A,ton_actual_peak_ns,ton_cmd_trunc_peak_ns,ton_trunc_active_fraction,pulse_inhibit_active_fraction,pulse_inhibit_event_est
A0,original ideal IQCOT,A0_original_ideal_iqcot_observable,1,2.37865754509881,1.98474865620435,2.3693648135612,2.37865754509881,0,1.83447281530897,14.6727410080742,200.000000000005,,,,
A1,Ton truncation only,A1_ton_trunc_only,1,2.41604300017517,1.98474865620435,2.14559251262547,2.41604300017517,0,1.84941313042127,14.6727410080742,200.000000000005,196.5,0.396137169885692,,
A2,Ton truncation + pulse inhibit,A2_ton_trunc_pulse_inhibit,1,2.35886328344326,1.98474865620435,1.84342486326372,2.33816495250871,0.863951334053148,1.85154937041826,14.6727410080742,200.000000000005,196.5,0.394249704608113,9.84639621898385e-05,1
A3,guarded reentry,A3_guarded_reentry,1,2.41604300017517,1.98474865620435,2.14559251262547,2.41604300017517,0,1.84941313042127,14.6727410080742,200.000000000005,196.5,0.396137169885692,0,0
A4,AI/table selected a_O,A4_ai_table_selected_aO,1,2.35886328344326,1.98474865620435,1.84342486326372,2.33816495250871,0.863951334053148,1.85154937041826,14.6727410080742,200.000000000005,196.5,0.394249704608113,9.84639621898385e-05,1
